Name,Level,Age,PA,GB/FB,LD%,HR/FB,SwStr%,BB%,K%,PlayerId
"Francisco Arcia","AA",25,266,1.4,0.168316831,0.042857142,0.06077348,0.071428571,0.127819548,"10286"
"Adrian Nieto","AA",25,315,1.014492753,0.210227272,0.072463768,0.09790732,0.165079365,0.244444444,"10294"
"Gift Ngoepe","AA",25,280,1.242424242,0.159090909,0.045454545,0.08724203,0.085714285,0.235714285,"10340"
"Mike Ohlman","AA",24,417,0.948275862,0.215277777,0.103448275,0.07328892,0.11031175,0.184652278,"10347"
"David Freitas","AA",26,276,1.061728395,0.204761904,0.098765432,0.0772317,0.061594202,0.134057971,"10619"
"Rob Brantly","AA",25,121,0.673913043,0.252427184,0.086956521,0.09711286,0.024793388,0.115702479,"10655"
"Lane Adams","AA",25,414,1.009523809,0.232727272,0.114285714,0.12484237,0.086956521,0.236714975,"10767"
"Colin Walsh","AA",25,619,1.095652173,0.317280453,0.113043478,0.09094284,0.200323101,0.211631663,"10961"
"Elliot Soto","AA",25,497,2.44,0.213414634,0,0.05486284,0.138832997,0.164989939,"11155"
"Jabari Blash","AA",25,248,1.087719298,0.179310344,0.175438596,0.14155713,0.125,0.241935483,"11247"
"Aaron Altherr","AA",24,260,0.945205479,0.240641711,0.08219178,0.08970438,0.107692307,0.153846153,"11270"
"Adrian Sanchez","AA",24,194,1.549019607,0.133333333,0.019607843,0.07064364,0.05670103,0.113402061,"11338"
"Drew Maggi","AA",26,483,2.13253012,0.228486646,0,0.05396825,0.093167701,0.169772256,"11381"
"Ronald Torreyes","AA",22,328,1.118811881,0.213235294,0.03960396,0.05248092,0.073170731,0.076219512,"11400"
"Kyle Waldrop","AA",23,259,0.956521739,0.254143646,0.086956521,0.14514286,0.046332046,0.235521235,"11402"
"Gary Sanchez","AA",22,254,0.929577464,0.234636871,0.169014084,0.10973085,0.070866141,0.196850393,"11442"
"Rob Segedin","AA",26,103,1.384615384,0.162162162,0.115384615,0.09390863,0.106796116,0.165048543,"11446"
"Tony Wolters","AA",23,271,0.985074626,0.24858757,0.029850746,0.10562016,0.077490774,0.232472324,"11470"
"Henry Ramos","AA",23,147,2.148148148,0.174757281,0,0.11324042,0.095238095,0.176870748,"11481"
"Willson Contreras","AA",23,521,2.177083333,0.213917525,0.083333333,0.086,0.10940499,0.119001919,"11609"
"Brandon Drury","AA",22,291,1.353658536,0.171673819,0.036585365,0.08682635,0.037800687,0.14089347,"11615"
"Drew Robinson","AA",23,519,0.907563025,0.214532871,0.176470588,0.10160428,0.159922928,0.267822736,"11761"
"Mason Williams","AA",23,144,1.516129032,0.235294117,0,0.048,0.131944444,0.118055555,"11859"
"Yadiel Rivera","AA",23,208,1.857142857,0.210526315,0.023809523,0.09866667,0.081730769,0.144230769,"11863"
"Ronny Rodriguez","AA",23,285,1.0875,0.197115384,0.1375,0.13609467,0.035087719,0.210526315,"11875"
"Noel Cuevas","AA",23,444,1.269565217,0.163461538,0.034782608,0.11577608,0.038288288,0.193693693,"11894"
"Nick Martini","AA",25,374,1.318681318,0.203773584,0.054945054,0.04652827,0.136363636,0.128342245,"12005"
"Jon Berti","AA",25,297,2.303571428,0.143518518,0.017857142,0.0459364,0.087542087,0.127946127,"12037"
