Name,Team,PA,1B,2B,3B,HR,BB,SO,FB%,GB%,NameASCII,PlayerId,MLBAMID
"Jose Herrera","ARI",124,19,2,0,0,9,34,0.2,0.64,"Jose Herrera",17040,645444
"Sheldon Neuse","OAK",293,48,4,2,4,20,80,0.183246073,0.638743455,"Sheldon Neuse",19635,641914
"Nick Madrigal","CHC",228,45,7,0,0,14,27,0.182320441,0.607734806,"Nick Madrigal",20521,663611
"Gilberto Celestino","MIN",347,59,12,1,2,32,77,0.188034188,0.602564102,"Gilberto Celestino",20233,665482
"Jonathan Villar","- - -",220,31,6,2,3,15,59,0.223776223,0.601398601,"Jonathan Villar",10071,542340
"Gunnar Henderson","BAL",132,18,7,1,4,16,34,0.243902439,0.597560975,"Gunnar Henderson",26289,683002
"Lorenzo Cain","MIL",156,20,5,0,1,8,36,0.281818181,0.59090909,"Lorenzo Cain",9077,456715
"Christian Yelich","MIL",671,102,25,4,14,88,162,0.230024213,0.585956416,"Christian Yelich",11477,592885
"Alek Thomas","ARI",411,62,17,1,8,22,74,0.25,0.580128205,"Alek Thomas",23792,677950
"Odúbel Herrera","PHI",197,29,9,1,5,11,42,0.295774647,0.577464788,"Odubel Herrera",11476,546318
"Cristian Pache","OAK",260,30,5,2,3,15,70,0.252941176,0.570588235,"Cristian Pache",19948,665506
"Eric Hosmer","- - -",419,75,19,0,8,37,64,0.25236593,0.567823343,"Eric Hosmer",3516,543333
"Jean Segura","PHI",387,79,9,0,10,25,58,0.269360269,0.565656565,"Jean Segura",5933,516416
"Michael Harris II","ATL",441,74,27,3,19,21,107,0.27124183,0.562091503,"Michael Harris II",25931,671739
"Romy Gonzalez","CHW",109,18,4,1,2,2,39,0.318181818,0.56060606,"Romy Gonzalez",21562,663853
"Riley Greene","DET",418,68,18,4,5,36,120,0.239382239,0.559845559,"Riley Greene",25976,682985
"Charlie Culberson","TEX",124,21,6,0,2,5,31,0.273809523,0.559523809,"Charlie Culberson",3298,518586
"Avisaíl García","MIA",380,63,9,0,8,17,109,0.264,0.556,"Avisail Garcia",5760,541645
"Alex Kirilloff","MIN",156,26,7,0,3,5,36,0.3,0.554545454,"Alex Kirilloff",20325,666135
"Yonathan Daza","COL",408,87,21,2,2,26,58,0.207547169,0.553459119,"Yonathan Daza",15794,602074
"Luis Guillorme","NYM",335,66,12,1,2,34,46,0.19105691,0.552845528,"Luis Guillorme",16451,641645
"Joey Wendle","MIA",371,62,24,1,3,15,50,0.281879194,0.55033557,"Joey Wendle",13853,621563
"Bubba Thompson","TEX",181,39,5,0,1,7,56,0.33,0.55,"Bubba Thompson",22261,669352
"Tim Anderson","CHW",351,81,13,0,6,14,55,0.209386281,0.548736462,"Tim Anderson",15172,641313
