Name,Level,Age,PA,GB/FB,LD%,HR/FB,SwStr%,BB%,K%,PlayerId
"Chris Owings","AAA",32,307,0.985074626,0.231213872,0.134328358,0.1075,0.143322475,0.25732899,"10030"
"Jose Iglesias","AAA",34,175,1.595238095,0.192592592,0.166666666,0.10638298,0.051428571,0.165714285,"10231"
"Rafael Ortega","AAA",33,313,0.868421052,0.260416666,0.144736842,0.0794948,0.178913738,0.198083067,"10323"
"Carlos Perez","AAA",33,468,0.746575342,0.22960725,0.184931506,0.08085345,0.104700854,0.17094017,"10642"
"Rob Brantly","AAA",34,179,0.886792452,0.206349206,0.094339622,0.15348837,0.067039106,0.195530726,"10655"
"Elliot Soto","AAA",34,468,1.560975609,0.265734265,0.048780487,0.10919849,0.123931623,0.239316239,"11155"
"Jake Marisnick","AAA",33,231,1.14,0.213235294,0.24,0.143026,0.112554112,0.268398268,"11339"
"Drew Maggi","AAA",35,123,1.185185185,0.233766233,0.185185185,0.16122004,0.073170731,0.284552845,"11381"
"Dixon Machado","AAA",32,182,2.117647058,0.184615384,0.088235294,0.06056338,0.126373626,0.137362637,"11472"
"Yolmer Sanchez","AAA",32,399,1.148148148,0.304,0.111111111,0.10928962,0.137844611,0.210526315,"11602"
"Nick Martini","AAA",34,100,1,0.245901639,0.304347826,0.0725,0.16,0.22,"12005"
"Niko Goodrum","AAA",32,243,1.525,0.298611111,0.175,0.13869347,0.119341563,0.271604938,"12092"
"Ben Gamel","AAA",32,190,0.772727272,0.303571428,0.159090909,0.08939974,0.163157894,0.242105263,"12160"
"Jake Hager","AAA",31,131,1,0.316455696,0.074074074,0.14230019,0.053435114,0.328244274,"12198"
"Kolten Wong","AAA",33,121,1.06060606,0.209302325,0.06060606,0.10675381,0.082644628,0.181818181,"12532"
"Phillip Evans","AAA",31,200,1.416666666,0.171428571,0.104166666,0.10604027,0.1,0.18,"12950"
"Michael Perez","AAA",31,246,0.95,0.24516129,0.15,0.1025641,0.105691056,0.235772357,"12977"
"Jake Lamb","AAA",33,414,1.204081632,0.223021582,0.071428571,0.1141994,0.103864734,0.20289855,"13329"
"Omar Narvaez","AAA",32,169,0.930232558,0.23853211,0.069767441,0.07945205,0.153846153,0.183431952,"13338"
"Stephen Piscotty","AAA",33,118,2.352941176,0.229729729,0.058823529,0.17727273,0.076271186,0.288135593,"13367"
"Erik Gonzalez","AAA",32,464,2.05,0.269461077,0.075,0.12021214,0.051724137,0.204741379,"13369"
"Wynton Bernard","AAA",33,265,1.818181818,0.240196078,0.09090909,0.09902913,0.045283018,0.166037735,"13408"
"Jack Lopez","AAA",31,432,1.679012345,0.216606498,0.148148148,0.14505224,0.071759259,0.256944444,"13663"
"David Dahl","AAA",30,295,1.28125,0.251282051,0.21875,0.13226095,0.094915254,0.240677966,"13744"
"Kevin Plawecki","AAA",33,299,1.514285714,0.188940092,0.157142857,0.08333333,0.107023411,0.143812709,"13807"
"Matt Duffy","AAA",33,216,2.205128205,0.143835616,0.051282051,0.07566938,0.101851851,0.208333333,"13836"
"Anthony Bemboom","AAA",34,224,1.428571428,0.227272727,0.047619047,0.09267241,0.147321428,0.232142857,"13854"
"Tyler Heineman","AAA",33,199,1,0.178294573,0.113207547,0.06266667,0.140703517,0.16080402,"13897"
"Albert Almora Jr.","AAA",30,576,1.436090225,0.258581235,0.067669172,0.09659931,0.072916666,0.140625,"14109"
"Eric Haase","AAA",31,170,1.214285714,0.311111111,0.321428571,0.12704918,0.111764705,0.329411764,"14111"
"Andrew Velazquez","AAA",29,473,1.435294117,0.236162361,0.188235294,0.21880342,0.071881606,0.33192389,"14196"
"Wilmer Difo","AAA",32,362,1.352112676,0.270742358,0.098591549,0.13207547,0.121546961,0.218232044,"14320"
"Joey Meneses","AAA",32,211,0.857142857,0.230263157,0.142857142,0.11221945,0.085308056,0.180094786,"14366"
"Harold Ramirez","AAA",29,128,3.058823529,0.178571428,0,0.10150376,0.09375,0.2109375,"14387"
"Joe Hudson","AAA",33,128,0.814814814,0.183333333,0.185185185,0.12547529,0.15625,0.328125,"14412"
"David Bote","AAA",31,123,1.225806451,0.233333333,0.225806451,0.11546841,0.097560975,0.146341463,"14593"
"Tony Kemp","AAA",32,326,1.077777777,0.236734693,0.1,0.06409131,0.107361963,0.110429447,"14894"
"Jack Reinheimer","AAA",31,109,1.034482758,0.243589743,0.034482758,0.16143498,0.036697247,0.220183486,"14938"
"Andrew Knapp","AAA",32,400,1.01098901,0.259109311,0.109890109,0.12676963,0.13,0.2375,"14942"
"Dom Nunez","AAA",29,263,0.68852459,0.253623188,0.081967213,0.11359725,0.159695817,0.300380228,"15055"
"Jonathan Davis","AAA",32,285,2.073170731,0.197452229,0.097560975,0.10806175,0.115789473,0.280701754,"15104"
"Hunter Dozier","AAA",32,214,0.759259259,0.285714285,0.129629629,0.1598513,0.056074766,0.29906542,"15117"
"Tim Locastro","AAA",31,120,0.774193548,0.276315789,0.064516129,0.08539326,0.091666666,0.15,"15124"
"Josh VanMeter","AAA",29,207,1.175,0.223214285,0.075,0.08176796,0.178743961,0.256038647,"15170"
"Austin Wynns","AAA",33,114,0.575757575,0.297297297,0.121212121,0.10752688,0.078947368,0.254385964,"15271"
"Jamie Westbrook","AAA",29,425,1.288659793,0.234482758,0.12371134,0.08343057,0.112941176,0.169411764,"15504"
"Mike Ford","AAA",31,105,0.896551724,0.236111111,0.206896551,0.08086253,0.114285714,0.19047619,"15585"
"Billy McKinney","AAA",29,165,1.189189189,0.205882352,0.135135135,0.10815047,0.145454545,0.224242424,"15654"
"Erick Mejia","AAA",29,203,0.961538461,0.233082706,0.096153846,0.07942238,0.128078817,0.192118226,"15817"
"Luis Torrens","AAA",28,124,1.652173913,0.273809523,0.217391304,0.09421842,0.080645161,0.233870967,"15905"
"Austin Nola","AAA",34,191,0.716981132,0.208695652,0.094339622,0.09446694,0.089005235,0.235602094,"15941"
"Mark Payton","AAA",32,479,1.203703703,0.295857988,0.092592592,0.07074677,0.110647181,0.169102296,"16042"
"J.D. Davis","AAA",31,136,2.818181818,0.3,0.272727272,0.17918089,0.080882352,0.433823529,"16219"
"Pablo Reyes","AAA",30,267,1.042857142,0.247368421,0.171428571,0.06636364,0.123595505,0.146067415,"16357"
"Oscar Mercado","AAA",29,361,1.010204081,0.212,0.122448979,0.11584932,0.099722991,0.166204986,"16375"
"Brian Navarreto","AAA",29,159,0.956521739,0.210526315,0.02173913,0.12629758,0.062893081,0.201257861,"16398"
"Francisco Mejia","AAA",28,376,0.980198019,0.259259259,0.108910891,0.10977337,0.101063829,0.17287234,"16403"
"Sergio Alcantara","AAA",27,492,1.579545454,0.281645569,0.09090909,0.0774578,0.158536585,0.184959349,"16417"
"Jordan Luplow","AAA",30,254,0.955882352,0.213017751,0.147058823,0.12476008,0.11023622,0.204724409,"16424"
"Jason Martin","AAA",28,306,1.272727272,0.253731343,0.196969696,0.12647555,0.101307189,0.215686274,"16429"
"Christian Arroyo","AAA",29,128,1.307692307,0.268292682,0.076923076,0.14110429,0.0703125,0.25,"16434"
"Forrest Wall","AAA",28,342,1.444444444,0.237623762,0.095238095,0.12002791,0.122807017,0.257309941,"16496"
"Kevin Padlo","AAA",27,276,0.865671641,0.183006535,0.134328358,0.1281106,0.148550724,0.286231884,"16593"
"Luis Urias","AAA",27,350,0.705882352,0.25,0.098039215,0.09050112,0.137142857,0.162857142,"16622"
"Greg Allen","AAA",31,218,1.176470588,0.152671755,0.058823529,0.10332542,0.105504587,0.21559633,"16623"
"Brian O'Keefe","AAA",30,280,0.741573033,0.175531914,0.202247191,0.133836,0.121428571,0.196428571,"16680"
"Jason Vosler","AAA",30,524,0.743055555,0.284900284,0.215277777,0.10277642,0.087786259,0.215648854,"16686"
"Aramis Garcia","AAA",31,278,0.984615384,0.178343949,0.123076923,0.14524648,0.046762589,0.356115107,"16925"
"Derek Hill","AAA",28,185,1.513513513,0.211864406,0.216216216,0.13068182,0.091891891,0.237837837,"16947"
"Chadwick Tromp","AAA",29,267,1.421052631,0.265957446,0.122807017,0.11684211,0.108614232,0.17977528,"16953"
"Eddy Alvarez","AAA",34,454,1.397590361,0.271062271,0.216867469,0.10358127,0.107929515,0.240088105,"16959"
"Jose Herrera","AAA",27,149,1.075,0.201923076,0.05,0.08571429,0.127516778,0.154362416,"17040"
"Chad Wallach","AAA",32,335,0.855421686,0.218274111,0.144578313,0.15149308,0.104477611,0.286567164,"17161"
"Alex Jackson","AAA",28,118,0.861111111,0.118421052,0.222222222,0.18281938,0.101694915,0.228813559,"17276"
"Luis Liberato","AAA",28,280,1.629629629,0.232432432,0.074074074,0.15553522,0.075,0.253571428,"17307"
"Michael Chavis","AAA",28,457,1.227722772,0.259868421,0.158415841,0.14022579,0.078774617,0.216630196,"17321"
"Cole Tucker","AAA",27,231,1.487804878,0.271428571,0.073170731,0.1047619,0.134199134,0.242424242,"17326"
"Myles Straw","AAA",29,495,1.88095238,0.286135693,0.035714285,0.05117493,0.107070707,0.191919191,"17620"
"Skye Bolt","AAA",30,127,1.208333333,0.293333333,0.083333333,0.10079051,0.141732283,0.259842519,"17723"
"DJ Stewart","AAA",30,106,0.947368421,0.26,0.157894736,0.16666667,0.179245283,0.311320754,"17766"
"Jakson Reetz","AAA",28,235,0.8,0.275167785,0.083333333,0.1561086,0.123404255,0.204255319,"17837"
"Willie Calhoun","AAA",29,203,0.947368421,0.244897959,0.070175438,0.05787349,0.1182266,0.142857142,"17838"
"Sam Hilliard","AAA",30,305,1.094594594,0.171122994,0.189189189,0.13215149,0.124590163,0.252459016,"17954"
"Scott Kingery","AAA",30,505,0.744827586,0.219135802,0.172413793,0.14060914,0.067326732,0.273267326,"17975"
"David Fletcher","AAA",30,160,1.694444444,0.224,0,0.04125737,0.1,0.10625,"17992"
"Hoy Park","AAA",28,434,1.4875,0.225680933,0.1125,0.09130913,0.15437788,0.225806451,"18027"
"Kyle Garlick","AAA",32,623,0.86,0.241847826,0.186666666,0.12905912,0.113964686,0.27447833,"18063"
"Austin Allen","AAA",30,162,0.951219512,0.259259259,0.195121951,0.15384615,0.037037037,0.283950617,"18083"
