Name,Level,Age,PA,GB/FB,LD%,HR/FB,SwStr%,BB%,K%,PlayerId
"Christian Bethancourt","AAA",33,214,0.945454545,0.230215827,0.127272727,0.18251928,0.051401869,0.261682242,"10028"
"Tucker Barnhart","AAA",34,125,1.032258064,0.202531645,0.064516129,0.09663866,0.136,0.192,"10200"
"Jon Singleton","AAA",33,472,0.75,0.210526315,0.15,0.11155982,0.163135593,0.266949152,"10441"
"Carlos Perez","AAA",34,465,0.700680272,0.233128834,0.183673469,0.08102109,0.109677419,0.165591397,"10642"
"Dixon Machado","AAA",33,331,2.478260869,0.238095238,0.086956521,0.06893996,0.151057401,0.178247734,"11472"
"Yolmer Sanchez","AAA",33,492,1.25,0.27027027,0.041666666,0.11498258,0.136178861,0.231707317,"11602"
"Brandon Drury","AAA",32,201,1.021276595,0.2578125,0.063829787,0.07971014,0.124378109,0.208955223,"11615"
"Nick Martini","AAA",35,360,0.988235294,0.255506607,0.117647058,0.06284916,0.138888888,0.183333333,"12005"
"Eddie Rosario","AAA",33,152,1.027777777,0.262626262,0.111111111,0.1102107,0.125,0.217105263,"12155"
"Ben Gamel","AAA",33,199,1.724137931,0.275229357,0.275862068,0.11330049,0.16080402,0.256281407,"12160"
"Jorge Alfaro","AAA",32,326,1.448275862,0.232432432,0.258620689,0.24789916,0.033742331,0.365030674,"12180"
"James McCann","AAA",35,160,1.53125,0.256880733,0.1875,0.13461538,0.05625,0.25625,"12859"
"Ildemaro Vargas","AAA",33,241,1.961538461,0.197916666,0.096153846,0.04068522,0.087136929,0.091286307,"13324"
"Jake Lamb","AAA",34,176,1.088235294,0.323809523,0.058823529,0.12552891,0.119318181,0.25,"13329"
"Omar Narvaez","AAA",33,295,1.29032258,0.268041237,0.080645161,0.06410256,0.145762711,0.169491525,"13338"
"Luke Maile","AAA",34,101,1,0.275862068,0.047619047,0.1,0.178217821,0.217821782,"13355"
"Jeimer Candelario","AAA",31,322,0.972602739,0.238095238,0.109589041,0.1310241,0.096273291,0.291925465,"13621"
"Jack Lopez","AAA",32,396,1.41025641,0.250996015,0.115384615,0.14822404,0.05050505,0.28030303,"13663"
"Tomas Nido","AAA",31,189,1.232558139,0.244094488,0.116279069,0.16793893,0.058201058,0.243386243,"13755"
"Albert Almora Jr.","AAA",31,325,1.63076923,0.272340425,0.076923076,0.091133,0.083076923,0.172307692,"14109"
"Andrew Velazquez","AAA",30,368,1.647887323,0.2,0.070422535,0.18874907,0.076086956,0.252717391,"14196"
"Joey Meneses","AAA",33,419,1.105263157,0.245283018,0.096491228,0.09128065,0.06921241,0.14797136,"14366"
"Franchy Cordero","AAA",30,166,1.307692307,0.142857142,0.102564102,0.16892911,0.090361445,0.259036144,"14567"
"Harold Castro","AAA",31,403,1.145631067,0.237931034,0.203883495,0.09262883,0.064516129,0.193548387,"14691"
"Manuel Margot","AAA",30,144,1.411764705,0.188118811,0.029411764,0.10554562,0.083333333,0.1875,"14712"
"Dom Nunez","AAA",30,298,0.582278481,0.183006535,0.11392405,0.0972549,0.171140939,0.291946308,"15055"
"Tim Locastro","AAA",32,414,0.935779816,0.238267148,0.082568807,0.1184669,0.086956521,0.161835748,"15124"
"Trey Mancini","AAA",33,335,1.096385542,0.24347826,0.192771084,0.14167357,0.074626865,0.208955223,"15149"
"Garrett Cooper","AAA",34,138,1.44,0.314606741,0.08,0.13059701,0.094202898,0.239130434,"15279"
"Jamie Westbrook","AAA",30,430,1.593406593,0.226229508,0.076923076,0.10321384,0.1,0.162790697,"15504"
"Mike Ford","AAA",32,191,1.315789473,0.24137931,0.210526315,0.12254902,0.141361256,0.246073298,"15585"
"Dominic Smith","AAA",30,189,0.913793103,0.189781021,0.137931034,0.11095506,0.105820105,0.158730158,"15653"
"Billy McKinney","AAA",30,385,1.058823529,0.27983539,0.14117647,0.12649007,0.114285714,0.238961038,"15654"
"Tyler Wade","AAA",30,121,1.545454545,0.29113924,0.045454545,0.07984032,0.123966942,0.214876033,"15730"
"Austin Nola","AAA",35,107,3.333333333,0.341772151,0.083333333,0.07197943,0.093457943,0.130841121,"15941"
"J.D. Davis","AAA",32,213,2.481481481,0.276923076,0.37037037,0.17228464,0.098591549,0.262910798,"16219"
