Name,Level,Age,PA,GB/FB,LD%,HR/FB,SwStr%,BB%,K%,PlayerId
"Christian Bethancourt","AAA",29,363,1.388235294,0.200787401,0.164705882,0.1751663,0.077134986,0.201101928,"10028"
"Tomas Telis","AAA",30,453,1.663551401,0.214876033,0.112149532,0.09052248,0.057395143,0.12803532,"10067"
"Wilfredo Tovar","AAA",29,407,1.367924528,0.19032258,0.066037735,0.0584538,0.11056511,0.113022113,"10416"
"Cheslor Cuthbert","AAA",28,350,0.910891089,0.171673819,0.158415841,0.10846954,0.122857142,0.194285714,"10473"
"Derek Dietrich","AAA",31,303,0.633802816,0.171428571,0.112676056,0.14935557,0.132013201,0.320132013,"10542"
"Carlos Perez","AAA",30,418,0.677215189,0.158730158,0.196202531,0.07578558,0.081339712,0.150717703,"10642"
"Rob Brantly","AAA",31,264,1.136363636,0.245989304,0.136363636,0.10783316,0.075757575,0.15530303,"10655"
"Ryan LaMarre","AAA",32,240,1.3,0.201388888,0.12,0.13129103,0.1125,0.258333333,"10700"
"Arismendy Alcantara","AAA",29,255,0.774193548,0.261744966,0.274193548,0.13675214,0.082352941,0.321568627,"10711"
"Rangel Ravelo","AAA",29,113,1.863636363,0.222222222,0.363636363,0.05882353,0.150442477,0.097345132,"10839"
"Christian Colon","AAA",32,413,1.032520325,0.183006535,0.121951219,0.07211232,0.0968523,0.118644067,"11145"
"Elliot Soto","AAA",31,198,1.970588235,0.229007633,0,0.09011264,0.095959595,0.207070707,"11155"
"Mike Freeman","AAA",33,217,0.830188679,0.253846153,0.113207547,0.11027027,0.170506912,0.211981566,"11241"
"Matt Szczur","AAA",31,112,0.909090909,0.136986301,0.151515151,0.1286031,0.0625,0.258928571,"11255"
"Bryan Holaday","AAA",33,108,0.7,0.15,0.175,0.07881773,0.083333333,0.175925925,"11287"
"Adrian Sanchez","AAA",30,174,1.685714285,0.271317829,0.114285714,0.10696095,0.06321839,0.16091954,"11338"
"Delino DeShields","AAA",28,381,0.775510204,0.209090909,0.061224489,0.08464329,0.16535433,0.225721784,"11379"
"Drew Maggi","AAA",32,370,1.260869565,0.235294117,0.231884057,0.1414914,0.108108108,0.308108108,"11381"
"Tony Wolters","AAA",29,245,1.283018867,0.224358974,0.113207547,0.08735868,0.106122448,0.21632653,"11470"
"Henry Ramos","AAA",29,294,1.627118644,0.265402843,0.20338983,0.11324201,0.098639455,0.163265306,"11481"
"Andrew Romine","AAA",35,243,2.146341463,0.232142857,0.024390243,0.10958904,0.082304526,0.172839506,"1159"
"Yolmer Sanchez","AAA",29,355,0.977528089,0.196347031,0.101123595,0.12817089,0.098591549,0.247887323,"11602"
"Brandon Drury","AAA",28,236,1.263157894,0.203703703,0.157894736,0.1,0.080508474,0.207627118,"11615"
"Drew Robinson","AAA",29,111,1,0.151515151,0.214285714,0.23347107,0.126126126,0.549549549,"11761"
"Mason Williams","AAA",29,233,1.016666666,0.248447204,0.083333333,0.10377358,0.072961373,0.21888412,"11859"
"Orlando Calixte","AAA",29,220,1.519230769,0.143790849,0.038461538,0.11706102,0.09090909,0.204545454,"11905"
"Nick Martini","AAA",31,323,1.359375,0.229591836,0.171875,0.08468336,0.130030959,0.216718266,"12005"
"Juniel Querecuto","AAA",28,396,1.109090909,0.226666666,0.118181818,0.11267606,0.078282828,0.156565656,"12140"
"Jorge Bonifacio","AAA",28,183,0.686274509,0.225225225,0.098039215,0.10997442,0.153005464,0.224043715,"12174"
"Jake Hager","AAA",28,344,1.103448275,0.200873362,0.172413793,0.12046444,0.093023255,0.229651162,"12198"
"Scott Schebler","AAA",30,285,1.225806451,0.178571428,0.177419354,0.20019342,0.059649122,0.301754385,"12225"
"Beau Taylor","AAA",31,234,2.027777777,0.237762237,0.111111111,0.10430108,0.119658119,0.239316239,"12384"
"Jason Krizan","AAA",32,480,1.141791044,0.217983651,0.119402985,0.06195147,0.08125,0.145833333,"12394"
"Taylor Motter","AAA",31,319,0.706521739,0.198979591,0.260869565,0.0845283,0.175548589,0.197492163,"12399"
"T.J. Rivera","AAA",32,311,1.093023255,0.2,0.104651162,0.11046512,0.057877813,0.186495176,"12495"
"Jett Bandy","AAA",31,121,0.923076923,0.264705882,0.115384615,0.10630631,0.09090909,0.280991735,"12508"
"John Hicks","AAA",31,268,0.794520547,0.233918128,0.178082191,0.22035573,0.059701492,0.294776119,"12547"
"Dillon Thomas","AAA",28,395,1.724137931,0.268518518,0.224137931,0.14215686,0.103797468,0.296202531,"12719"
"Breyvic Valera","AAA",29,180,1,0.253731343,0.06,0.03937008,0.133333333,0.105555555,"12758"
"Andy Burns","AAA",30,216,0.727272727,0.221311475,0.109090909,0.09931507,0.166666666,0.24074074,"12779"
"Taylor Davis","AAA",31,180,1.525,0.240601503,0.05,0.07814761,0.122222222,0.116666666,"12782"
"Gregory Polanco","AAA",29,101,0.857142857,0.267605633,0.321428571,0.13740458,0.07920792,0.188118811,"12907"
"Alen Hanson","AAA",28,156,1.23076923,0.194444444,0.051282051,0.10564663,0.089743589,0.173076923,"12926"
"Socrates Brito","AAA",28,419,1.085714285,0.223404255,0.085714285,0.12839975,0.076372315,0.22673031,"12944"
"Phillip Evans","AAA",28,144,1.517241379,0.239583333,0,0.11895911,0.104166666,0.201388888,"12950"
"Charlie Tilson","AAA",28,232,3.321428571,0.224358974,0.035714285,0.09953162,0.073275862,0.202586206,"12983"
"Erick Castillo","AAA",28,136,2.08,0.17204301,0,0.11741683,0.095588235,0.161764705,"12990"
"Mitch Walding","AAA",28,138,1.157894736,0.280701754,0.315789473,0.23132969,0.108695652,0.471014492,"13006"
"John Andreoli","AAA",31,171,0.617647058,0.276315789,0.117647058,0.12401055,0.175438596,0.362573099,"13012"
"Mikie Mahtook","AAA",31,410,1.009345794,0.182509505,0.242990654,0.12340426,0.075609756,0.248780487,"13130"
"Jose Briceno","AAA",28,111,0.969696969,0.177215189,0.151515151,0.13033175,0.054054054,0.216216216,"13151"
"Marco Hernandez","AAA",28,354,1.551724137,0.201438848,0.057471264,0.12921348,0.028248587,0.169491525,"13154"
"Robel Garcia","AAA",28,136,0.571428571,0.09589041,0.142857142,0.14215686,0.125,0.330882352,"13167"
"Blake Swihart","AAA",29,204,0.84,0.264,0.1,0.12060302,0.12745098,0.25,"13176"
"Orlando Arcia","AAA",26,322,1.02,0.195219123,0.17,0.09845403,0.096273291,0.118012422,"13185"
"Jacob Wilson","AAA",30,301,0.755319148,0.175,0.159574468,0.10258549,0.106312292,0.205980066,"13254"
"Ildemaro Vargas","AAA",29,268,1.378378378,0.2,0.135135135,0.04848485,0.059701492,0.100746268,"13324"
"Deven Marrero","AAA",30,207,1.181818181,0.2,0.113636363,0.11630695,0.101449275,0.289855072,"13325"
"Luke Maile","AAA",30,155,1.809523809,0.22368421,0.047619047,0.12339744,0.141935483,0.322580645,"13355"
"Bubba Starling","AAA",28,105,0.931034482,0.232876712,0.24137931,0.14285714,0.066666666,0.238095238,"13356"
"Wynton Bernard","AAA",30,351,1.444444444,0.168067226,0.086419753,0.124613,0.074074074,0.216524216,"13408"
"Christian Lopes","AAA",28,219,0.453125,0.237704918,0.140625,0.12140575,0.132420091,0.278538812,"13472"
"Dwight Smith Jr.","AAA",28,147,1.333333333,0.239130434,0.033333333,0.11034483,0.136054421,0.231292517,"13473"
"Humberto Arteaga","AAA",27,219,1.1,0.171052631,0.033333333,0.1202454,0.03652968,0.255707762,"13595"
"Jack Lopez","AAA",28,252,1.206896551,0.247058823,0.051724137,0.14420063,0.075396825,0.214285714,"13663"
"David Dahl","AAA",27,131,1.555555555,0.303030303,0.111111111,0.12473573,0.061068702,0.152671755,"13744"
"Elier Hernandez","AAA",26,358,1.057471264,0.190045248,0.183908045,0.15698479,0.058659217,0.298882681,"13750"
"Matt Reynolds","AAA",30,367,1.142857142,0.239631336,0.064935064,0.09770115,0.138964577,0.253405994,"13788"
"Eric Stamets","AAA",29,118,0.555555555,0.078947368,0.066666666,0.08237986,0.110169491,0.194915254,"13795"
"Anthony Bemboom","AAA",31,256,0.788732394,0.180645161,0.112676056,0.09712587,0.1484375,0.21484375,"13854"
"Tyler Heineman","AAA",30,151,1.516129032,0.235294117,0,0.09,0.105960264,0.19205298,"13897"
"Seth Mejias-Brean","AAA",30,190,1.452380952,0.162601626,0.119047619,0.11567164,0.089473684,0.221052631,"13905"
"Sherman Johnson","AAA",30,239,0.98,0.2265625,0.1,0.10660377,0.167364016,0.263598326,"13906"
"Patrick Kivlehan","AAA",31,364,1.043956043,0.194805194,0.23076923,0.16735823,0.071428571,0.274725274,"13910"
"Rio Ruiz","AAA",27,249,1.396551724,0.248648648,0.120689655,0.14739229,0.080321285,0.156626506,"14103"
"Albert Almora Jr.","AAA",27,169,0.888888888,0.25,0.111111111,0.06581059,0.076923076,0.106508875,"14109"
"Greg Bird","AAA",28,461,0.786259541,0.195876288,0.20610687,0.10436137,0.125813449,0.229934924,"14131"
"Tim Lopes","AAA",27,370,1,0.222222222,0.12087912,0.12786657,0.091891891,0.248648648,"14137"
"Andrew Velazquez","AAA",26,306,1.09090909,0.211428571,0.106060606,0.1484127,0.120915032,0.284313725,"14196"
"Anthony Alford","AAA",26,226,1.076923076,0.263636363,0.358974358,0.16839917,0.146017699,0.345132743,"14329"
"Nick Williams","AAA",27,138,1.03030303,0.238636363,0.121212121,0.13737374,0.050724637,0.260869565,"14330"
"Dilson Herrera","AAA",27,196,0.78,0.21238938,0.2,0.15235792,0.091836734,0.31632653,"14335"
"Joey Meneses","AAA",29,162,1.5625,0.24074074,0.15625,0.1177394,0.080246913,0.24074074,"14366"
"Joe Hudson","AAA",30,175,0.829787234,0.218181818,0.063829787,0.10285714,0.102857142,0.257142857,"14412"
"Renato Nunez","AAA",27,386,0.726415094,0.227848101,0.198113207,0.12523364,0.095854922,0.240932642,"14503"
"Wyatt Mathisen","AAA",27,282,0.734939759,0.116564417,0.120481927,0.10209424,0.120567375,0.24822695,"14555"
"Franchy Cordero","AAA",26,335,1.305084745,0.291666666,0.220338983,0.15075377,0.125373134,0.280597014,"14567"
"Webster Rivas","AAA",30,186,1.764705882,0.241935483,0.147058823,0.10666667,0.118279569,0.209677419,"14636"
"Phillip Ervin","AAA",28,266,1.56,0.174193548,0.16,0.12370242,0.131578947,0.263157894,"14738"
"JaCoby Jones","AAA",29,301,1.462962962,0.18902439,0.129629629,0.13094245,0.093023255,0.342192691,"14818"
"Daniel Palka","AAA",29,420,1.2,0.211320754,0.189473684,0.08896797,0.145238095,0.214285714,"14897"
"Jack Reinheimer","AAA",28,366,0.864077669,0.20661157,0.038834951,0.10607071,0.084699453,0.229508196,"14938"
"Johan Camargo","AAA",27,436,1.240384615,0.253205128,0.182692307,0.10080183,0.107798165,0.165137614,"14950"
"Zach Green","AAA",27,378,0.786666666,0.251396648,0.2,0.18049667,0.105820105,0.391534391,"14973"
"Dylan Cozens","AAA",27,100,0.833333333,0.083333333,0.111111111,0.18961625,0.19,0.43,"15115"
"Ian Miller","AAA",29,413,1.925925925,0.18556701,0.037037037,0.0814951,0.089588377,0.181598062,"15156"
"Ryan Cordell","AAA",29,226,0.543859649,0.16981132,0.210526315,0.15416667,0.10619469,0.384955752,"15181"
"Dustin Peterson","AAA",26,329,1.333333333,0.216,0.107142857,0.08360129,0.09118541,0.133738601,"15189"
"Carlos Asuaje","AAA",29,300,1.552238805,0.233183856,0.029850746,0.05318221,0.11,0.126666666,"15197"
"Mike Tauchman","AAA",30,154,1.176470588,0.221052631,0.088235294,0.07828656,0.129870129,0.233766233,"15274"
"Frank Schwindel","AAA",29,246,0.932432432,0.218579234,0.229729729,0.12030905,0.056910569,0.182926829,"15351"
"Abiatal Avelino","AAA",26,433,1.965116279,0.172077922,0.069767441,0.12233719,0.099307159,0.163972286,"15496"
"Jamie Westbrook","AAA",26,287,1.197368421,0.208530805,0.144736842,0.11043566,0.073170731,0.146341463,"15504"
