Name,Level,Age,PA,GB/FB,LD%,HR/FB,SwStr%,BB%,K%,PlayerId
"Chris Owings","AAA",27,183,0.836734693,0.203539823,0.224489795,0.13642565,0.081967213,0.273224043,"10030"
"Tomas Telis","AAA",28,327,1.573170731,0.224264705,0.097560975,0.08382727,0.048929663,0.100917431,"10067"
"Nick Franklin","AAA",28,307,0.917647058,0.197044334,0.070588235,0.10945274,0.123778501,0.19218241,"10166"
"Francisco Arcia","AAA",29,220,2.47368421,0.195121951,0.026315789,0.10897436,0.04090909,0.177272727,"10286"
"Rafael Ortega","AAA",28,493,0.984126984,0.249249249,0.166666666,0.06923452,0.119675456,0.192697768,"10323"
"Gift Ngoepe","AAA",29,135,2.125,0.206349206,0.3125,0.1758034,0.088888888,0.414814814,"10340"
"John Ryan Murphy","AAA",28,186,0.714285714,0.225806451,0.178571428,0.13710879,0.075268817,0.252688172,"10346"
"Wilfredo Tovar","AAA",27,349,1.651685393,0.166077738,0.04494382,0.07679871,0.05444126,0.128939828,"10416"
"Adeiny Hechavarria","AAA",30,102,1.222222222,0.25,0,0.09809264,0.058823529,0.137254901,"10459"
"Cheslor Cuthbert","AAA",26,219,0.923076923,0.177631578,0.123076923,0.13762626,0.07762557,0.210045662,"10473"
"Rocky Gale","AAA",31,173,1.295454545,0.217054263,0.045454545,0.12053571,0.052023121,0.190751445,"10533"
"Bryce Brentz","AAA",30,357,1.109589041,0.176470588,0.246575342,0.1556971,0.109243697,0.341736694,"10607"
"David Freitas","AAA",30,384,1.481481481,0.263736263,0.148148148,0.08944183,0.122395833,0.143229166,"10619"
"Rob Brantly","AAA",29,272,1.242857142,0.230392156,0.085714285,0.09928352,0.117647058,0.106617647,"10655"
"Ryan LaMarre","AAA",30,455,1.769230769,0.242105263,0.115384615,0.13111888,0.083516483,0.259340659,"10700"
"Arismendy Alcantara","AAA",27,339,1.594202898,0.182648401,0.188405797,0.12319392,0.09439528,0.24778761,"10711"
"Lane Adams","AAA",29,306,0.830985915,0.207317073,0.169014084,0.17574257,0.098039215,0.336601307,"10767"
"Tyler Saladino","AAA",29,310,1.081081081,0.218274111,0.229729729,0.09674861,0.132258064,0.216129032,"10807"
"Rangel Ravelo","AAA",27,381,1.658227848,0.227941176,0.151898734,0.08817498,0.09711286,0.160104986,"10839"
"Adam Duvall","AAA",30,429,0.585714285,0.195652173,0.228571428,0.07853403,0.111888111,0.2004662,"10950"
"Phil Gosselin","AAA",30,353,0.8317757,0.179916317,0.074766355,0.06638714,0.130311614,0.172804532,"10953"
"Christian Colon","AAA",30,582,1.167701863,0.210407239,0.062111801,0.06026365,0.097938144,0.099656357,"11145"
"Cameron Rupp","AAA",30,215,0.745762711,0.169354838,0.169491525,0.11963883,0.102325581,0.28372093,"11146"
"Elliot Soto","AAA",29,463,1.741573033,0.222929936,0.11235955,0.08301475,0.097192224,0.196544276,"11155"
"Ramon Flores","AAA",27,131,1.68,0.182926829,0.12,0.04891304,0.175572519,0.167938931,"11165"
"Matt Szczur","AAA",29,172,0.86,0.231404958,0.16,0.10028249,0.110465116,0.156976744,"11255"
"Bryan Holaday","AAA",31,118,0.888888888,0.170731707,0.055555555,0.07173913,0.144067796,0.101694915,"11287"
"Drew Maggi","AAA",30,472,1.225490196,0.214532871,0.098039215,0.08282828,0.127118644,0.20338983,"11381"
"Ronald Torreyes","AAA",26,330,1.133333333,0.19133574,0.104761904,0.0778098,0.036363636,0.1,"11400"
"Dixon Machado","AAA",27,393,1.451219512,0.182926829,0.207317073,0.09605598,0.13740458,0.201017811,"11472"
"Henry Ramos","AAA",27,366,1.161616161,0.183206106,0.121212121,0.10960758,0.06557377,0.202185792,"11481"
"Kaleb Cowart","AAA",27,317,1.191011235,0.159482758,0.08988764,0.11479821,0.078864353,0.173501577,"11494"
"Andrew Romine","AAA",33,417,1.586956521,0.234726688,0.086956521,0.10564784,0.064748201,0.160671462,"1159"
"Rosell Herrera","AAA",26,180,1.104166666,0.229007633,0.104166666,0.1276901,0.077777777,0.177777777,"11611"
"Jarrett Parker","AAA",30,424,1.194805194,0.231818181,0.311688311,0.11665762,0.16981132,0.29481132,"11624"
"Drew Robinson","AAA",27,234,0.754716981,0.205128205,0.113207547,0.11156602,0.153846153,0.303418803,"11761"
"Mason Williams","AAA",27,494,1.49090909,0.232492997,0.163636363,0.08019118,0.093117408,0.174089068,"11859"
"Yadiel Rivera","AAA",27,312,2.56,0.175925925,0.28,0.20500928,0.019230769,0.259615384,"11863"
"Ronny Rodriguez","AAA",27,181,0.927272727,0.190839694,0.2,0.18890555,0.033149171,0.226519337,"11875"
"Noel Cuevas","AAA",27,233,1.6875,0.183544303,0.104166666,0.12249443,0.103004291,0.197424892,"11894"
"Orlando Calixte","AAA",27,104,3.307692307,0.222222222,0.153846153,0.10309278,0.067307692,0.23076923,"11905"
"Travis Taijeron","AAA",30,453,0.636363636,0.205882352,0.242424242,0.1358209,0.141280353,0.36423841,"11935"
"Travis Shaw","AAA",29,174,0.462962962,0.193877551,0.222222222,0.10598504,0.206896551,0.212643678,"11982"
"Nick Martini","AAA",29,329,1.7,0.27027027,0.133333333,0.06410256,0.14893617,0.155015197,"12005"
"Matt Skole","AAA",29,392,0.931034482,0.236363636,0.24137931,0.12621951,0.178571428,0.25255102,"12119"
"Juniel Querecuto","AAA",26,408,1.233009708,0.265175718,0.08737864,0.08423913,0.039215686,0.171568627,"12140"
"Austin Barnes","AAA",29,104,1,0.134328358,0.206896551,0.06872038,0.134615384,0.192307692,"12158"
"Jorge Bonifacio","AAA",26,500,0.50802139,0.145454545,0.106951871,0.12798054,0.076,0.242,"12174"
"Jake Hager","AAA",26,366,1.023809523,0.23076923,0.142857142,0.15085324,0.081967213,0.292349726,"12198"
"Scott Schebler","AAA",28,212,1.354166666,0.220689655,0.104166666,0.12436548,0.056603773,0.240566037,"12225"
"Ryan Court","AAA",31,228,1.142857142,0.186046511,0.224489795,0.10589411,0.140350877,0.276315789,"12268"
"Cory Spangenberg","AAA",28,476,1.477272727,0.243055555,0.159090909,0.16365569,0.090336134,0.285714285,"12294"
"Jace Peterson","AAA",29,377,1.493975903,0.236162361,0.120481927,0.08226568,0.122015915,0.148541114,"12325"
"Beau Taylor","AAA",29,279,1.815789473,0.246478873,0.210526315,0.10446571,0.186379928,0.279569892,"12384"
