Name,Level,Age,PA,GB/FB,LD%,HR/FB,SwStr%,BB%,K%,PlayerId
"Keon Barnum","AA",23,309,1.733333333,0.141361256,0.066666666,0.15148862,0.077669902,0.294498381,"sa657864"
"Courtney Hawkins","AA",22,455,0.878260869,0.231316725,0.104347826,0.2015691,0.061538461,0.301098901,"sa657904"
"Clint Coulter","AA",22,102,1.392857142,0.151898734,0.071428571,0.11420613,0.039215686,0.156862745,"sa657922"
"Adrian Marin","AA",22,444,2.083333333,0.185534591,0.047619047,0.08602846,0.065315315,0.184684684,"sa657939"
"Avery Romero","AA",23,117,1.68,0.182926829,0.04,0.06094808,0.128205128,0.145299145,"sa657944"
"Ronnie Freeman","AA",25,211,2,0.24,0.078947368,0.09681373,0.061611374,0.194312796,"sa658013"
"Andrew Pullin","AA",22,206,1.036363636,0.263157894,0.181818181,0.12232416,0.063106796,0.174757281,"sa658016"
"Joey Curletta","AA",22,107,0.92,0.157894736,0.16,0.16113744,0.093457943,0.345794392,"sa658025"
"Angel Ortega","AA",22,254,3.146341463,0.166666666,0.073170731,0.11233211,0.011811023,0.161417322,"sa658030"
"Alfredo Escalera","AA",21,218,1.744186046,0.228758169,0.046511627,0.14637306,0.027522935,0.233944954,"sa658111"
"Jeff McVaney","AA",26,289,1.037037037,0.218009478,0.074074074,0.05618964,0.128027681,0.089965397,"sa658125"
"River Stevens","AA",24,308,1.591549295,0.163636363,0.056338028,0.10009183,0.061688311,0.172077922,"sa658130"
"Brett Vertigan","AA",25,462,1.67368421,0.20625,0.021052631,0.08385985,0.086580086,0.194805194,"sa658149"
"Correlle Prime","AA",22,352,0.977272727,0.201834862,0.022727272,0.18681319,0.065340909,0.295454545,"sa658187"
"Connor Lien","AA",22,258,0.887096774,0.133333333,0.096774193,0.18514947,0.089147286,0.329457364,"sa658195"
"Wade Wass","AA",24,153,1.64,0.175,0.04,0.16528926,0.124183006,0.320261437,"sa658231"
"Bijan Rademacher","AA",25,294,1.164556962,0.177884615,0.11392405,0.06068163,0.119047619,0.166666666,"sa658233"
"Brock Hebert","AA",25,223,1.04347826,0.137614678,0.02173913,0.078125,0.192825112,0.264573991,"sa658259"
"Nellie Rodriguez","AA",22,579,0.708955223,0.249180327,0.19402985,0.14871795,0.129533678,0.321243523,"sa658264"
"Bruce Caldwell","AA",24,403,1.168539325,0.205761316,0.123595505,0.10106717,0.101736972,0.287841191,"sa658271"
"Kody Eaves","AA",22,376,0.685714285,0.202702702,0.104761904,0.12252384,0.103723404,0.279255319,"sa658290"
"D.J. Hicks","AA",26,477,1.443298969,0.237942122,0.06185567,0.10903584,0.109014675,0.22851153,"sa658310"
"Jacob Scavuzzo","AA",22,459,1.158333333,0.190625,0.083333333,0.12652351,0.061002178,0.217864923,"sa658601"
"C.J. Hinojosa","AA",21,251,1.147058823,0.21081081,0.044117647,0.08154506,0.079681274,0.171314741,"sa658616"
"Jason Leblebijian","AA",25,306,0.923076923,0.214659685,0.089743589,0.12470214,0.091503267,0.261437908,"sa658622"
"Kyle Johnson","AA",26,196,0.84,0.239669421,0.04,0.10012837,0.102040816,0.25510204,"sa658623"
"Jeff Kemp","AA",26,175,1.075,0.153061224,0.1,0.14766082,0.102857142,0.314285714,"sa658834"
"Connor Harrell","AA",25,405,1.195402298,0.248031496,0.114942528,0.13939394,0.054320987,0.26419753,"sa658840"
"Jorge Saez","AA",25,140,0.720930232,0.119047619,0.139534883,0.14942529,0.071428571,0.278571428,"sa658909"
"Colton Plaia","AA",25,241,1.274509803,0.279503105,0.019607843,0.12485682,0.070539419,0.228215767,"sa658920"
"Drew Longley","AA",27,121,0.75,0.246153846,0.107142857,0.19827586,0.09090909,0.3553719,"sa659756"
"Ashley Graeter","AA",26,287,1.781818181,0.215384615,0.109090909,0.09519136,0.090592334,0.18815331,"sa660832"
"Chase McDonald","AA",24,434,1.198019801,0.192727272,0.168316831,0.16102236,0.082949308,0.276497695,"sa706987"
"Angel Rosa","AA",23,181,1.139534883,0.2,0.046511627,0.14461538,0.06077348,0.287292817,"sa707769"
"Jacob Schrader","AA",25,375,1.127906976,0.197368421,0.139534883,0.18028359,0.074666666,0.301333333,"sa707778"
"Zane Evans","AA",24,248,1.5,0.23076923,0.096153846,0.13707865,0.04032258,0.241935483,"sa708968"
"Drew Dosch","AA",24,464,1.041666666,0.259818731,0.075,0.1123464,0.0625,0.198275862,"sa709292"
"Cole Sturgeon","AA",24,457,1.313559322,0.237430167,0.050847457,0.07613564,0.050328227,0.133479212,"sa709546"
"Tyler Horan","AA",25,323,1.59375,0.194174757,0.1875,0.1191067,0.095975232,0.244582043,"sa709555"
"Dustin DeMuth","AA",24,128,2.333333333,0.166666666,0,0.10931174,0.0546875,0.25,"sa709557"
"Brandon Trinkwon","AA",24,309,1.277108433,0.167400881,0.036144578,0.03324584,0.100323624,0.132686084,"sa709596"
"Calten Daal","AA",22,127,6.2,0.181818181,0.1,0.11188811,0.070866141,0.204724409,"sa729572"
"Tucker Nathans","AA",27,230,1.518518518,0.19047619,0.074074074,0.08701135,0.060869565,0.182608695,"sa732567"
"Drew Ward","AA",21,203,2.566666666,0.137096774,0.1,0.10492228,0.108374384,0.251231527,"sa737690"
"Champ Stuart","AA",23,203,1.315789473,0.207207207,0.052631578,0.14516129,0.068965517,0.359605911,"sa737827"
"Matt Oberste","AA",24,462,1.268907563,0.191616766,0.075630252,0.09930314,0.082251082,0.173160173,"sa737845"
"Forrestt Allday","AA",25,106,2.733333333,0.253333333,0,0.06234414,0.113207547,0.122641509,"sa737849"
