Name,Level,Age,PA,GB/FB,LD%,HR/FB,SwStr%,BB%,K%,PlayerId
"Delino DeShields","AA",32,127,1.136363636,0.298507462,0,0.10663984,0.125984251,0.275590551,"11379"
"Travis Blankenhorn","AA",28,251,0.698630136,0.173333333,0.109589041,0.1319797,0.107569721,0.274900398,"18395"
"Tres Barrera","AA",30,113,1.23076923,0.171428571,0.038461538,0.12553191,0.150442477,0.21238938,"19977"
"Seth Beer","AA",28,120,0.390243902,0.278481012,0.073170731,0.13274336,0.091666666,0.225,"20493"
"Cal Mitchell","AA",26,156,0.853658536,0.191489361,0.073170731,0.12882448,0.089743589,0.294871794,"22169"
"Jeremiah Jackson","AA",25,189,1.265306122,0.239726027,0.081632653,0.14285714,0.047619047,0.164021164,"22239"
"Chandler Seagle","AA",29,122,1.23076923,0.171428571,0,0.16736402,0.049180327,0.344262295,"23552"
"Jordan Groshans","AA",25,250,1.19117647,0.215789473,0.044117647,0.08758315,0.088,0.14,"23794"
"Jose Rodriguez","AA",24,108,1.379310344,0.197674418,0.034482758,0.0952381,0.055555555,0.12037037,"24388"
"Bryan Lavastida","AA",26,163,1.758620689,0.279279279,0.172413793,0.10140406,0.073619631,0.202453987,"24765"
"C.J. Stubbs","AA",28,156,0.806451612,0.211267605,0.064516129,0.16434109,0.121794871,0.397435897,"25814"
"Alejandro Osuna","AA",22,169,1.275,0.235294117,0.05,0.05987055,0.076923076,0.147928994,"27915"
"Jhostynxon Garcia","AA",22,138,1.137931034,0.295454545,0.103448275,0.08971963,0.130434782,0.210144927,"28142"
"Denzer Guzman","AA",21,386,0.743119266,0.224489795,0.100917431,0.12631579,0.106217616,0.238341968,"28816"
"Carter Jensen","AA",21,308,1.041666666,0.275862068,0.083333333,0.10392799,0.097402597,0.227272727,"29478"
"Oscar Colas","AA",26,372,1.084210526,0.201612903,0.157894736,0.15267176,0.086021505,0.241935483,"30162"
"Nathan Church","AA",24,129,1.116279069,0.165137614,0.139534883,0.04719101,0.062015503,0.077519379,"31357"
"Sal Stewart","AA",21,329,1.647058823,0.256198347,0.147058823,0.09304207,0.082066869,0.155015197,"31505"
"Zach Cole","AA",24,355,1.442307692,0.265895953,0.269230769,0.15937941,0.118309859,0.363380281,"31583"
"Rafael Flores Jr.","AA",24,370,1.045454545,0.240506329,0.170454545,0.14637579,0.081081081,0.254054054,"31991"
"Kyle Karros","AA",22,234,1.270833333,0.263513513,0.083333333,0.10913405,0.136752136,0.192307692,"33252"
"Bryce Eldridge","AA",20,140,0.9,0.313253012,0.233333333,0.15647482,0.092857142,0.278571428,"33390"
"Christian Moore","AA",22,146,1.275862068,0.214285714,0.034482758,0.13815789,0.143835616,0.273972602,"34979"
"Jac Caglianone","AA",22,175,1.666666666,0.247863247,0.272727272,0.12536873,0.108571428,0.211428571,"35041"
"Marcus Smith","AA",24,162,1.08,0.277777777,0.16,0.13578501,0.098765432,0.438271604,"sa1169620"
"Cody Milligan","AA",26,225,1.421052631,0.220338983,0.052631578,0.1317176,0.151111111,0.293333333,"sa1169818"
"Matt O'Neill","AA",27,102,1.625,0.275862068,0.125,0.10899183,0.156862745,0.25490196,"sa1170279"
"Eliezer Alfonzo","AA",25,217,1.150943396,0.317365269,0.018867924,0.07224335,0.073732718,0.129032258,"sa3003262"
"Luis Mieses","AA",25,428,0.974789915,0.241935483,0.117647058,0.13083538,0.072429906,0.19859813,"sa3003274"
"Francisco Acuna","AA",25,477,1,0.221122112,0.06779661,0.09765013,0.113207547,0.222222222,"sa3003291"
"Je'Von Ward","AA",25,198,0.978260869,0.228813559,0.130434782,0.13037975,0.095959595,0.303030303,"sa3004969"
"Imanol Vargas","AA",27,121,1.041666666,0.268656716,0.041666666,0.10887097,0.165289256,0.280991735,"sa3004972"
"Adam Hall","AA",26,123,1.260869565,0.257142857,0,0.11924686,0.105691056,0.243902439,"sa3005077"
