Name,Team,PA,1B,2B,3B,HR,BB,SO,FB%,GB%,NameASCII,PlayerId,MLBAMID
"Cory Spangenberg","MIL",102,16,2,2,2,6,36,0.148148148,0.666666666,"Cory Spangenberg",12294,605486
"César Puello","- - -",147,22,5,0,4,10,38,0.137931034,0.655172413,"Cesar Puello",7216,527049
"Wilson Ramos","NYM",524,103,19,0,14,44,69,0.191646191,0.624078624,"Wilson Ramos",1433,467092
"Nicky Lopez","KCR",402,65,22,2,2,18,51,0.221875,0.621875,"Nicky Lopez",19339,670032
"Yonathan Daza","COL",105,18,1,1,0,7,21,0.229729729,0.594594594,"Yonathan Daza",15794,602074
"Meibrys Viloria","KCR",148,20,7,0,1,10,44,0.258426966,0.584269662,"Meibrys Viloria",17109,650619
"Yairo Muñoz","STL",181,36,7,1,2,7,37,0.237037037,0.577777777,"Yairo Munoz",16313,622168
"Chris Owings","- - -",196,15,6,1,3,14,78,0.277227722,0.574257425,"Chris Owings",10030,572008
"Adam Haseley","PHI",242,40,14,0,5,14,60,0.203703703,0.574074074,"Adam Haseley",19878,656514
"Harold Ramírez","MIA",446,82,20,3,11,18,91,0.22960725,0.574018126,"Harold Ramirez",14387,623912
"Carlos González","- - -",166,23,3,0,3,18,52,0.244680851,0.563829787,"Carlos Gonzalez",7287,471865
"Eric Hosmer","SDP",667,111,29,2,22,40,163,0.230936819,0.559912854,"Eric Hosmer",3516,543333
"Nick Martini","- - -",109,15,4,1,1,14,26,0.19117647,0.558823529,"Nick Martini",12005,605361
"Erik González","PIT",156,30,4,1,1,9,37,0.240384615,0.557692307,"Erik Gonzalez",13369,570481
"Charlie Tilson","CHW",157,27,5,0,1,10,38,0.245283018,0.556603773,"Charlie Tilson",12983,605508
"Ben Zobrist","CHC",176,33,5,0,1,23,24,0.259842519,0.551181102,"Ben Zobrist",7435,450314
"Greg Garcia","SDP",372,56,13,4,4,53,83,0.231111111,0.551111111,"Greg Garcia",10951,594824
"Tomás Nido","NYM",144,17,5,0,4,7,37,0.295918367,0.551020408,"Tomas Nido",13755,621512
"Sam Travis","BOS",157,20,4,1,6,11,36,0.330275229,0.550458715,"Sam Travis",16263,607752
"Leury García","CHW",618,123,27,3,8,21,139,0.23569794,0.549199084,"Leury Garcia",5913,544725
"Kendrys Morales","- - -",201,28,2,1,2,26,26,0.28275862,0.544827586,"Kendrys Morales",8610,434778
"Eduardo Núñez","BOS",174,29,7,0,2,4,27,0.274647887,0.542253521,"Eduardo Nunez",6848,456488
"Andrelton Simmons","LAA",424,79,19,0,7,24,37,0.316666666,0.538888888,"Andrelton Simmons",10847,592743
"Matt Duffy","TBR",169,28,8,0,1,19,29,0.235294117,0.537815126,"Matt Duffy",13836,622110
"Mac Williamson","- - -",144,15,1,0,4,14,44,0.273809523,0.535714285,"Mac Williamson",14158,607776
"Kevin Kiermaier","TBR",480,61,20,7,14,26,104,0.29239766,0.535087719,"Kevin Kiermaier",11038,595281
"Dee Strange-Gordon","SEA",421,87,12,6,3,18,61,0.253776435,0.534743202,"Dee Strange-Gordon",8203,543829
"Tommy Pham","TBR",654,99,33,2,21,81,123,0.247747747,0.533783783,"Tommy Pham",2967,502054
"Josh Naylor","SDP",279,40,15,0,8,25,64,0.3,0.531578947,"Josh Naylor",18839,647304
"Jake Cave","MIN",228,30,11,2,8,21,71,0.21875,0.53125,"Jake Cave",14477,595909
"Albert Almora Jr.","CHC",363,56,11,1,12,16,62,0.281588447,0.53068592,"Albert Almora Jr.",14109,546991
"Daniel Robertson","TBR",237,32,9,1,2,24,59,0.278911564,0.530612244,"Daniel Robertson",14145,621002
"Jon Berti","MIA",287,49,14,1,6,24,73,0.207650273,0.530054644,"Jon Berti",12037,542932
"Nick Solak","TEX",135,22,6,1,5,15,29,0.275862068,0.528735632,"Nick Solak",19294,669256
"Jorge Alfaro","MIA",465,80,14,1,18,22,154,0.254480286,0.52688172,"Jorge Alfaro",12180,595751
"Ildemaro Vargas","ARI",211,38,9,1,6,9,24,0.24858757,0.525423728,"Ildemaro Vargas",13324,545121
"Grayson Greiner","DET",224,31,5,1,5,13,70,0.323741007,0.525179856,"Grayson Greiner",17062,606988
"Harold Castro","DET",369,84,10,4,5,9,86,0.224719101,0.524344569,"Harold Castro",14691,605612
"Marco Hernández","BOS",155,28,7,0,2,3,42,0.233009708,0.524271844,"Marco Hernandez",13154,593523
"Austin Slater","SFG",192,23,9,3,5,22,59,0.229357798,0.522935779,"Austin Slater",16153,596103
"Garrett Cooper","MIA",421,75,16,1,15,33,110,0.231617647,0.522058823,"Garrett Cooper",15279,643265
"Jose Iglesias","CIN",530,110,21,3,11,20,70,0.24137931,0.52183908,"Jose Iglesias",10231,578428
"Hernán Pérez","MIL",246,34,11,0,8,11,66,0.317365269,0.520958083,"Hernan Perez",5751,541650
"Alex Avila","ARI",201,17,8,0,9,36,68,0.25,0.520833333,"Alex Avila",7476,488671
"Jean Segura","PHI",618,108,37,4,12,30,73,0.271287128,0.518811881,"Jean Segura",5933,516416
"Raimel Tapia","COL",447,80,23,5,9,21,100,0.258461538,0.516923076,"Raimel Tapia",14350,606132
"Tyler Wade","NYY",108,17,3,1,2,11,28,0.354838709,0.516129032,"Tyler Wade",15730,642180
"Jon Jay","CHW",182,36,8,0,0,8,30,0.223880597,0.514925373,"Jon Jay",5227,445055
"José Rondon","- - -",157,22,3,0,3,11,38,0.304761904,0.514285714,"Jose Rondon",14140,602922
"Orlando Arcia","MIL",546,78,16,1,15,43,109,0.305912596,0.514138817,"Orlando Arcia",13185,606115
"David Peralta","ARI",423,61,29,3,12,35,87,0.277027027,0.510135135,"David Peralta",2136,444482
"Elvis Andrus","TEX",648,122,27,4,12,34,96,0.27734375,0.509765625,"Elvis Andrus",8709,462101
"Mallex Smith","SEA",566,82,19,9,6,42,141,0.300275482,0.509641873,"Mallex Smith",13608,605480
"Yandy Díaz","TBR",347,47,20,1,14,35,61,0.32,0.508,"Yandy Diaz",16578,650490
"Ryan McMahon","COL",539,73,22,1,24,56,160,0.278996865,0.50783699,"Ryan McMahon",15112,641857
"Roberto Pérez","CLE",449,59,9,1,24,45,127,0.323193916,0.505703422,"Roberto Perez",2900,547379
"Ryan Goins","CHW",163,27,6,1,2,17,44,0.313131313,0.505050505,"Ryan Goins",9807,572365
"Starling Marte","PIT",586,99,31,6,23,25,94,0.281818181,0.504545454,"Starling Marte",9241,516782
"Ryan Braun","MIL",508,76,31,2,22,34,105,0.304225352,0.504225352,"Ryan Braun",3410,460075
"Russell Martin","LAD",249,35,5,0,6,30,60,0.284768211,0.503311258,"Russell Martin",4616,431145
"Javier Báez","CHC",561,78,38,4,29,28,156,0.316489361,0.502659574,"Javier Baez",12979,595879
"Lorenzo Cain","MIL",623,105,30,0,11,50,106,0.241304347,0.502173913,"Lorenzo Cain",9077,456715
"Willson Contreras","CHC",409,54,18,2,24,38,102,0.339768339,0.501930501,"Willson Contreras",11609,575929
"DJ LeMahieu","NYY",655,136,33,2,26,46,90,0.262135922,0.500970873,"DJ LeMahieu",9874,518934
"David Bote","CHC",356,50,17,0,11,44,93,0.268867924,0.5,"David Bote",14593,623520
"Isiah Kiner-Falefa","TEX",222,34,12,1,1,14,49,0.331168831,0.5,"Isiah Kiner-Falefa",16512,643396
"JT Riddle","MIA",139,13,6,0,6,5,42,0.333333333,0.5,"JT Riddle",17642,595375
"Steven Duggar","SFG",281,43,12,2,4,16,78,0.285714285,0.5,"Steven Duggar",17719,621453
"Jose Altuve","HOU",548,88,27,3,31,41,82,0.325183374,0.498777506,"Jose Altuve",5417,514888
"José A. Martínez","STL",373,65,13,2,10,35,82,0.260869565,0.498023715,"Jose A. Martinez",7996,500874
"Martín Prado","MIA",260,46,9,0,2,12,41,0.285024154,0.497584541,"Martin Prado",3312,445988
"Kevan Smith","LAA",211,31,12,0,5,16,37,0.225806451,0.496774193,"Kevan Smith",12284,607345
"Shohei Ohtani","LAA",425,67,20,5,18,33,110,0.244604316,0.496402877,"Shohei Ohtani",19755,660271
"Vladimir Guerrero Jr.","TOR",514,83,26,2,15,46,91,0.330666666,0.496,"Vladimir Guerrero Jr.",19611,665489
"Jackie Bradley Jr.","BOS",567,59,28,3,21,56,155,0.33431085,0.495601173,"Jackie Bradley Jr.",12984,598265
"Richie Martin","BAL",309,42,8,3,6,14,83,0.307291666,0.494791666,"Richie Martin",17736,621006
"Bryan Holaday","MIA",129,22,6,0,4,11,21,0.284210526,0.494736842,"Bryan Holaday",11287,592407
"Victor Caratini","CHC",279,43,11,0,11,29,59,0.265957446,0.494680851,"Victor Caratini",14968,605170
"Humberto Arteaga","KCR",135,20,4,0,0,8,28,0.279569892,0.494623655,"Humberto Arteaga",13595,600858
"Kevin Newman","PIT",531,114,20,6,12,28,62,0.284382284,0.494172494,"Kevin Newman",17696,621028
"Lewis Brinson","MIA",248,29,9,1,0,13,74,0.335526315,0.493421052,"Lewis Brinson",14352,621446
"Jarrod Dyson","ARI",452,72,11,2,7,47,86,0.320132013,0.491749174,"Jarrod Dyson",4866,502481
"Greg Allen","CLE",256,37,9,3,4,11,53,0.32,0.491428571,"Greg Allen",16623,656185
"Mike Freeman","CLE",213,37,8,0,4,22,61,0.258620689,0.49137931,"Mike Freeman",11241,502273
"Shin-Soo Choo","TEX",660,92,31,2,24,78,165,0.29113924,0.49113924,"Shin-Soo Choo",3174,425783
"Cole Tucker","PIT",159,16,10,3,2,10,40,0.273584905,0.490566037,"Cole Tucker",17326,657061
"Luis Urías","SDP",249,35,8,1,4,25,56,0.305732484,0.490445859,"Luis Urias",16622,649966
"Keon Broxton","- - -",228,24,4,0,6,20,104,0.34375,0.489583333,"Keon Broxton",9253,542979
"Buster Posey","SFG",445,73,24,0,7,34,71,0.283582089,0.489552238,"Buster Posey",9166,457763
"Robinson Canó","NYM",423,59,28,0,13,25,69,0.309597523,0.489164086,"Robinson Cano",3269,429664
"Jonathan Villar","BAL",714,114,33,5,24,61,176,0.313043478,0.489130434,"Jonathan Villar",10071,542340
"Derek Fisher","- - -",167,15,4,1,7,21,57,0.329545454,0.488636363,"Derek Fisher",16192,605233
"Chad Pinder","OAK",370,48,21,0,13,20,88,0.29296875,0.48828125,"Chad Pinder",15191,640461
"Jesse Winker","CIN",384,56,17,2,16,38,60,0.249097472,0.48736462,"Jesse Winker",13590,608385
"Alex Verdugo","LAD",377,65,22,2,12,26,49,0.286666666,0.486666666,"Alex Verdugo",17027,657077
"César Hernández","PHI",667,123,31,3,14,45,100,0.287109375,0.486328125,"Cesar Hernandez",10556,514917
"Tim Anderson","CHW",518,117,32,0,18,15,109,0.276214833,0.485933503,"Tim Anderson",15172,641313
"DJ Stewart","BAL",142,20,6,0,4,14,26,0.373737373,0.484848484,"DJ Stewart",17766,621466
"Howie Kendrick","WSN",370,74,23,1,17,27,49,0.328719723,0.484429065,"Howie Kendrick",4229,435062
"Ender Inciarte","ATL",230,31,11,2,5,26,41,0.277419354,0.483870967,"Ender Inciarte",4922,542255
"Dawel Lugo","DET",288,46,11,4,6,8,59,0.28110599,0.483870967,"Dawel Lugo",14713,608475
"Nick Ahmed","ARI",625,83,33,6,19,52,113,0.317880794,0.483443708,"Nick Ahmed",12147,605113
"Amed Rosario","NYM",655,125,30,7,15,31,124,0.292929292,0.482828282,"Amed Rosario",15518,642708
"Tim Lopes","SEA",128,22,7,0,1,15,29,0.325301204,0.48192771,"Tim Lopes",14137,621005
"Myles Straw","HOU",128,23,4,2,0,19,24,0.289156626,0.48192771,"Myles Straw",17620,664702
"Brandon Crawford","SFG",560,77,24,2,11,53,117,0.283854166,0.481770833,"Brandon Crawford",5343,543063
"Matt Beaty","LAD",268,37,19,1,9,17,33,0.328703703,0.481481481,"Matt Beaty",17710,607461
"Addison Russell","CHC",241,37,4,1,9,20,58,0.348101265,0.481012658,"Addison Russell",14106,608365
"Austin Romine","NYY",240,44,12,0,8,10,50,0.329608938,0.480446927,"Austin Romine",5491,519222
"Martín Maldonado","- - -",374,40,19,0,12,32,86,0.349593495,0.479674796,"Martin Maldonado",6887,455117
"Wilmer Difo","WSN",144,29,2,0,2,12,29,0.275510204,0.479591836,"Wilmer Difo",14320,594694
"Starlin Castro","MIA",676,115,31,4,22,28,111,0.329588014,0.479400749,"Starlin Castro",4579,516770
"Nick Markakis","ATL",469,82,25,2,9,47,59,0.271468144,0.479224376,"Nick Markakis",5930,455976
"Eloy Jiménez","CHW",504,74,18,2,31,30,134,0.339285714,0.479166666,"Eloy Jimenez",17484,650391
"Nick Senzel","CIN",414,60,20,4,12,30,101,0.328467153,0.478102189,"Nick Senzel",19293,669222
"Luis Rengifo","LAA",406,57,18,3,7,40,93,0.304511278,0.477443609,"Luis Rengifo",19858,650859
"Jacob Stallings","PIT",210,39,5,0,6,16,40,0.337748344,0.476821192,"Jacob Stallings",13723,607732
"Mauricio Dubón","- - -",111,20,5,0,4,5,20,0.255813953,0.476744186,"Mauricio Dubon",16530,643289
"Brock Holt","BOS",295,58,14,2,3,28,57,0.276699029,0.475728155,"Brock Holt",9345,571788
"Roman Quinn","PHI",122,15,3,1,4,12,34,0.360655737,0.475409836,"Roman Quinn",13546,596451
"José Osuna","PIT",285,39,20,0,10,18,48,0.31797235,0.474654377,"Jose Osuna",12937,591741
"Elias Díaz","PIT",332,57,14,0,2,23,56,0.313253012,0.473895582,"Elias Diaz",11680,553869
"Melky Cabrera","PIT",397,76,22,1,7,17,41,0.294642857,0.473214285,"Melky Cabrera",4022,466320
"Shed Long Jr.","SEA",168,22,12,1,5,16,40,0.3125,0.473214285,"Shed Long Jr.",16542,643418
"Trea Turner","WSN",569,94,37,5,19,43,113,0.327628361,0.47188264,"Trea Turner",16252,607208
"Pablo Reyes","PIT",157,18,7,2,2,13,36,0.396226415,0.471698113,"Pablo Reyes",16357,622569
"Dwight Smith Jr.","BAL",392,54,16,3,13,26,82,0.341726618,0.471223021,"Dwight Smith Jr.",13473,596105
"Pablo Sandoval","SFG",296,36,23,0,14,18,67,0.322115384,0.471153846,"Pablo Sandoval",5409,467055
"Adeiny Hechavarría","- - -",221,27,12,1,9,14,48,0.380645161,0.470967741,"Adeiny Hechavarria",10459,588751
"Ian Desmond","COL",482,58,31,4,20,34,119,0.304615384,0.47076923,"Ian Desmond",6885,435622
