Name,Level,Age,PA,GB/FB,LD%,HR/FB,SwStr%,BB%,K%,PlayerId
"Chris Owings","AAA",31,371,0.939759036,0.229665071,0.180722891,0.1202957,0.137466307,0.285714285,"10030"
"Billy Hamilton","AAA",32,113,0.74074074,0.20338983,0.037037037,0.12941176,0.123893805,0.309734513,"10199"
"Jose Iglesias","AAA",33,135,1.171428571,0.262135922,0.114285714,0.09626719,0.066666666,0.162962962,"10231"
"Rafael Ortega","AAA",32,339,0.989010989,0.188340807,0.098901098,0.07898352,0.159292035,0.168141592,"10323"
"Jon Singleton","AAA",31,364,0.7,0.244444444,0.22,0.08782849,0.173076923,0.206043956,"10441"
"Adeiny Hechavarria","AAA",34,141,0.88095238,0.168421052,0.142857142,0.15098039,0.085106382,0.226950354,"10459"
"Cesar Hernandez","AAA",33,164,1.56,0.296703296,0,0.0872093,0.225609756,0.207317073,"10556"
"David Freitas","AAA",34,129,0.631578947,0.303370786,0.131578947,0.08739837,0.093023255,0.186046511,"10619"
"Rob Brantly","AAA",33,177,1.307692307,0.285714285,0.025641025,0.07515337,0.101694915,0.118644067,"10655"
"Ryan LaMarre","AAA",34,108,1.3,0.206896551,0.15,0.1495098,0.111111111,0.305555555,"10700"
"Rangel Ravelo","AAA",31,258,1.612244897,0.247058823,0.163265306,0.08007813,0.162790697,0.139534883,"10839"
"Elliot Soto","AAA",33,184,1.888888888,0.25,0.037037037,0.13210227,0.076086956,0.320652173,"11155"
"Kole Calhoun","AAA",35,266,0.848484848,0.34054054,0.136363636,0.12858556,0.101503759,0.180451127,"11200"
"Jake Marisnick","AAA",32,145,1,0.209302325,0.058823529,0.12280702,0.131034482,0.227586206,"11339"
"Jesus Aguilar","AAA",33,241,0.963636363,0.31210191,0.09090909,0.08110781,0.141078838,0.203319502,"11342"
"Gary Sanchez","AAA",30,106,0.772727272,0.264150943,0.045454545,0.09224319,0.188679245,0.273584905,"11442"
"Tony Wolters","AAA",31,215,1.54054054,0.265625,0.081081081,0.10854503,0.16744186,0.213953488,"11470"
"Dixon Machado","AAA",31,293,1.517857142,0.245989304,0.125,0.05387755,0.174061433,0.163822525,"11472"
"Henry Ramos","AAA",31,327,1.231884057,0.287037037,0.188405797,0.1210139,0.125382262,0.198776758,"11481"
"Yolmer Sanchez","AAA",31,481,0.787610619,0.268115942,0.07079646,0.09820126,0.185031185,0.22037422,"11602"
"Nick Martini","AAA",33,417,0.957894736,0.2734375,0.157894736,0.08533022,0.143884892,0.208633093,"12005"
"Niko Goodrum","AAA",31,286,1.681818181,0.253164556,0.181818181,0.0968,0.23076923,0.209790209,"12092"
"Juniel Querecuto","AAA",30,440,0.791666666,0.253472222,0.108333333,0.11761264,0.09090909,0.229545454,"12140"
"Ben Gamel","AAA",31,332,1.06849315,0.256157635,0.178082191,0.09848485,0.159638554,0.219879518,"12160"
"Jorge Alfaro","AAA",30,278,1.7,0.285714285,0.14,0.20043103,0.050359712,0.233812949,"12180"
"Jake Hager","AAA",30,209,1.24,0.2,0.06,0.12967914,0.066985645,0.224880382,"12198"
"Taylor Motter","AAA",33,236,0.770491803,0.275167785,0.13114754,0.10183299,0.114406779,0.25,"12399"
"John Hicks","AAA",33,206,1.041666666,0.222222222,0.0625,0.176,0.092233009,0.27184466,"12547"
"Phillip Evans","AAA",30,590,1.663793103,0.25,0.094827586,0.06952596,0.155932203,0.127118644,"12950"
"Michael Perez","AAA",30,270,1.180327868,0.208333333,0.147540983,0.11261261,0.125925925,0.237037037,"12977"
"Jose Briceno","AAA",30,122,1.3,0.148148148,0.3,0.16511628,0.06557377,0.229508196,"13151"
"Jake Lamb","AAA",32,357,1.053333333,0.296803652,0.146666666,0.09257999,0.162464985,0.198879551,"13329"
"Tyler Naquin","AAA",32,269,1.574468085,0.262195121,0.191489361,0.16909621,0.07063197,0.301115241,"13359"
"Stephen Piscotty","AAA",32,206,1.25,0.164285714,0.115384615,0.11837238,0.116504854,0.184466019,"13367"
"Erik Gonzalez","AAA",31,493,2.155555555,0.172011661,0.055555555,0.14810496,0.064908722,0.210953346,"13369"
"Wynton Bernard","AAA",32,571,1.547826086,0.269326683,0.095652173,0.1010916,0.098073555,0.180385288,"13408"
"Roman Quinn","AAA",30,177,1.857142857,0.240506329,0.095238095,0.15539568,0.146892655,0.344632768,"13546"
