Name,Team,PA,1B,2B,3B,HR,BB,SO,FB%,GB%,NameASCII,PlayerId,MLBAMID
"Jake Mangum","TBR",428,98,18,1,3,19,64,0.217647058,0.611764705,"Jake Mangum",26202,663968
"DJ LeMahieu","NYY",142,29,3,0,2,14,35,0.193548387,0.602150537,"DJ LeMahieu",9874,518934
"Tyler Locklear","ARI",116,15,0,0,3,10,43,0.316666666,0.6,"Tyler Locklear",31396,682988
"Chandler Simpson","TBR",441,104,15,3,0,20,43,0.165745856,0.593922651,"Chandler Simpson",31912,802415
"Jon Berti","CHC",107,19,2,0,0,5,22,0.153846153,0.589743589,"Jon Berti",12037,542932
"Alan Roden","- - -",153,17,6,1,2,8,37,0.297029702,0.584158415,"Alan Roden",31564,702176
"Jose Iglesias","SDP",343,56,11,0,3,24,56,0.244979919,0.582329317,"Jose Iglesias",10231,578428
"Carson Williams","TBR",106,9,3,0,5,6,44,0.29090909,0.581818181,"Carson Williams",30038,700246
"Ildemaro Vargas","ARI",121,25,2,1,3,2,15,0.31,0.58,"Ildemaro Vargas",13324,545121
"José Tena","WSN",169,22,13,2,0,15,37,0.236842105,0.578947368,"Jose Tena",23691,677588
"Ben Williamson","SEA",295,56,13,0,1,15,64,0.258215962,0.572769953,"Ben Williamson",33197,810938
"Isiah Kiner-Falefa","- - -",459,88,21,2,2,17,77,0.226361031,0.567335243,"Isiah Kiner-Falefa",16512,643396
"Christian Yelich","MIL",644,101,21,0,29,64,167,0.24137931,0.566502463,"Christian Yelich",11477,592885
"Luisangel Acuña","NYM",193,34,7,0,0,13,37,0.288888888,0.555555555,"Luisangel Acuna",26548,682668
"Brandon Lockridge","- - -",148,23,7,1,0,8,36,0.234693877,0.551020408,"Brandon Lockridge",21496,663604
"Kristian Campbell","BOS",263,35,10,0,6,29,72,0.267515923,0.5477707,"Kristian Campbell",33644,692225
"Masataka Yoshida","BOS",205,35,11,0,4,10,24,0.226190476,0.547619047,"Masataka Yoshida",31837,807799
"Jacob Young","WSN",364,62,10,1,2,27,65,0.257028112,0.53815261,"Jacob Young",29931,696285
"Yandy Díaz","TBR",651,120,29,1,25,57,92,0.276209677,0.536290322,"Yandy Diaz",16578,650490
"Denzel Clarke","ATH",159,21,8,2,3,6,61,0.290697674,0.53488372,"Denzel Clarke",29858,672016
"Thairo Estrada","COL",165,27,9,0,3,6,26,0.312977099,0.534351145,"Thairo Estrada",16426,642731
"Chase Meidroth","CHW",505,94,15,0,5,45,72,0.270557029,0.533156498,"Chase Meidroth",31580,805367
"Rafael Marchán","PHI",118,16,4,0,2,10,17,0.337078651,0.528089887,"Rafael Marchan",21646,665561
"Brett Baty","NYM",432,67,13,2,18,33,108,0.278745644,0.526132404,"Brett Baty",26123,683146
"Jacob Wilson","ATH",523,112,26,0,13,27,39,0.278026905,0.524663677,"Jacob Wilson",33266,805779
"John Rave","KCR",175,21,5,0,4,18,46,0.320388349,0.524271844,"John Rave",26284,670231
"Hyeseong Kim","LAD",170,35,6,1,3,7,52,0.266055045,0.522935779,"Hyeseong Kim",35322,808975
"Robert Hassell III","WSN",206,32,9,0,3,8,62,0.287878787,0.522727272,"Robert Hassell III",27482,690987
"Jake McCarthy","ARI",222,26,7,5,4,10,40,0.339622641,0.522012578,"Jake McCarthy",21622,664983
"Oswald Peraza","- - -",265,29,6,0,5,17,80,0.331288343,0.521472392,"Oswald Peraza",22823,672724
"Alek Thomas","ARI",469,77,19,3,9,21,122,0.301587301,0.52063492,"Alek Thomas",23792,677950
"Oswaldo Cabrera","NYY",122,21,4,0,1,11,25,0.296296296,0.518518518,"Oswaldo Cabrera",21707,665828
"Johan Rojas","PHI",172,28,3,2,1,13,40,0.314814814,0.518518518,"Johan Rojas",24336,679032
"Kevin Newman","LAA",116,19,2,0,2,1,23,0.318681318,0.516483516,"Kevin Newman",17696,621028
"Yanquiel Fernández","COL",147,22,5,0,4,8,44,0.347368421,0.515789473,"Yanquiel Fernandez",28552,692585
"Joey Bart","PIT",332,54,12,1,4,40,93,0.291666666,0.515625,"Joey Bart",21524,663698
"Tommy Pham","PIT",449,68,17,1,10,50,94,0.330033003,0.514851485,"Tommy Pham",2967,502054
"Vinny Capra","- - -",105,9,2,0,1,3,25,0.361111111,0.513888888,"Vinny Capra",25040,681962
"Elly De La Cruz","CIN",699,106,31,7,22,67,181,0.3125,0.513392857,"Elly De La Cruz",26668,682829
"Tyler Freeman","COL",428,82,20,2,2,34,51,0.271604938,0.512345679,"Tyler Freeman",22532,671289
"Luis Torrens","NYM",283,39,14,1,5,19,56,0.27804878,0.512195121,"Luis Torrens",15905,620443
"Ryan Ritter","COL",207,32,9,3,1,10,61,0.260162601,0.512195121,"Ryan Ritter",31500,690022
"Roman Anthony","BOS",303,48,18,1,8,40,84,0.310344827,0.511494252,"Roman Anthony",31812,701350
"Will Wagner","- - -",149,22,7,0,0,17,28,0.28,0.51,"Will Wagner",29634,695238
"Dylan Crews","WSN",322,41,8,2,10,24,76,0.341013824,0.506912442,"Dylan Crews",33541,686611
"Orlando Arcia","- - -",214,30,7,1,3,10,47,0.326923076,0.506410256,"Orlando Arcia",13185,606115
"Luis Rengifo","LAA",541,91,16,3,9,33,104,0.256281407,0.505025125,"Luis Rengifo",19858,650859
"Luke Raley","SEA",219,25,8,0,4,19,64,0.341880341,0.504273504,"Luke Raley",19354,670042
"Austin Martin","MIN",181,34,8,1,1,22,31,0.243902439,0.50406504,"Austin Martin",27462,668885
