Name,Level,Age,PA,GB/FB,LD%,HR/FB,SwStr%,BB%,K%,PlayerId
"Drew Maggi","AA",34,141,0.976190476,0.135416666,0,0.12635379,0.063829787,0.191489361,"11381"
"Jorge Bonifacio","AA",30,508,0.458563535,0.223529411,0.121546961,0.11843362,0.12007874,0.198818897,"12174"
"Domingo Leyba","AA",27,114,0.825,0.188888888,0.075,0.09725159,0.105263157,0.105263157,"16404"
"Chris Shaw","AA",29,225,0.517857142,0.166666666,0.214285714,0.14909478,0.155555555,0.368888888,"17738"
"Yusniel Diaz","AA",26,406,1.06060606,0.233082706,0.161616161,0.10028986,0.137931034,0.192118226,"18905"
"Daniel Johnson","AA",27,412,0.858267716,0.177700348,0.102362204,0.12275064,0.097087378,0.186893203,"19643"
"Greg Deichmann","AA",28,225,1.244897959,0.147286821,0.204081632,0.14381271,0.124444444,0.293333333,"19872"
"Aaron Whitefield","AA",26,118,1.470588235,0.222222222,0.176470588,0.19153226,0.101694915,0.398305084,"19938"
"Blake Rutherford","AA",26,141,1.678571428,0.278846153,0.25,0.116,0.063829787,0.177304964,"19957"
"Jorge Ona","AA",26,123,0.964285714,0.166666666,0.107142857,0.19381443,0.073170731,0.333333333,"20040"
"Mario Feliciano","AA",24,154,1.152173913,0.161016949,0,0.0940499,0.058441558,0.136363636,"20263"
"Irving Lopez","AA",28,277,1.242424242,0.19125683,0.106060606,0.10239852,0.10469314,0.194945848,"20463"
"Seth Beer","AA",26,359,0.728260869,0.293333333,0.141304347,0.12061404,0.09470752,0.22562674,"20493"
"Jose Devers","AA",23,420,1.058333333,0.200647249,0.058333333,0.09974587,0.085714285,0.147619047,"20540"
"Leo Rivas","AA",25,436,1.492957746,0.274590163,0.070422535,0.07061267,0.197247706,0.20412844,"21009"
"Tyler Payne","AA",30,157,0.902439024,0.29090909,0.097560975,0.11615245,0.070063694,0.203821656,"21139"
"Hayden Senger","AA",26,309,0.984615384,0.222891566,0.076923076,0.15878107,0.116504854,0.307443365,"21489"
"Brandon Lockridge","AA",26,114,1.363636363,0.324675324,0.09090909,0.14617169,0.122807017,0.192982456,"21496"
"Griffin Conine","AA",25,353,1.171875,0.205714285,0.28125,0.18015482,0.133144475,0.339943342,"21626"
"Dane Myers","AA",27,215,1.95,0.174825174,0.175,0.07251462,0.125581395,0.172093023,"22054"
"Jeremiah Jackson","AA",23,500,0.99137931,0.224832214,0.189655172,0.15954709,0.096,0.288,"22239"
"Joe Perez","AA",23,107,0.454545454,0.213114754,0.212121212,0.10454545,0.186915887,0.224299065,"22254"
"Livan Soto","AA",23,127,1.333333333,0.232876712,0.041666666,0.0965251,0.149606299,0.267716535,"22471"
"Johnathan Rodriguez","AA",23,363,1.346666666,0.207207207,0.24,0.15007013,0.093663911,0.26721763,"22530"
"Lawrence Butler","AA",22,318,1.32051282,0.202643171,0.128205128,0.11093376,0.094339622,0.188679245,"22542"
"Tirso Ornelas","AA",23,312,1.546875,0.220095693,0.171875,0.07743857,0.141025641,0.189102564,"22566"
"Steward Berroa","AA",24,396,1.391891891,0.195454545,0.094594594,0.10633067,0.143939393,0.267676767,"22766"
"Wenceel Perez","AA",23,343,0.809523809,0.236947791,0.057142857,0.07978723,0.102040816,0.151603498,"22857"
"Israel Pineda","AA",23,107,1.12,0.171875,0.04,0.17766497,0.06542056,0.317757009,"22906"
"David Banuelos","AA",26,178,1,0.309523809,0.344827586,0.15416098,0.117977528,0.382022471,"23250"
"Eric Wagaman","AA",25,136,0.727272727,0.208333333,0.113636363,0.10978044,0.088235294,0.198529411,"23395"
"Luis Vazquez","AA",23,258,0.970588235,0.19760479,0.161764705,0.14357937,0.062015503,0.251937984,"23442"
"Chandler Seagle","AA",27,187,1.435897435,0.181034482,0.025641025,0.13807531,0.053475935,0.294117647,"23552"
"Jose Tena","AA",22,362,1.243243243,0.198067632,0.054054054,0.14559659,0.113259668,0.287292817,"23691"
"Everson Pereira","AA",22,185,0.729166666,0.245454545,0.208333333,0.1539548,0.102702702,0.291891891,"23695"
"Leo Jimenez","AA",22,333,1.162790697,0.211864406,0.093023255,0.07847896,0.096096096,0.159159159,"23782"
"Will Banfield","AA",23,495,0.694267515,0.193939393,0.146496815,0.15139879,0.05050505,0.246464646,"23790"
"Anthony Seigler","AA",24,264,0.808219178,0.153846153,0.06849315,0.06069364,0.200757575,0.181818181,"23802"
"Jorbit Vivas","AA",22,491,1.157480314,0.219373219,0.094488188,0.0901312,0.109979633,0.105906313,"23917"
"Ceddanne Rafaela","AA",22,266,1.459016393,0.210526315,0.098360655,0.16998951,0.052631578,0.206766917,"24262"
"Liover Peguero","AA",22,318,1.149425287,0.161434977,0.126436781,0.08959044,0.10062893,0.182389937,"24273"
"Johan Rojas","AA",22,354,1.777777777,0.215686274,0.125,0.09962547,0.06779661,0.166666666,"24336"
"Jose Rodriguez","AA",22,404,1.134615384,0.223776223,0.173076923,0.14691615,0.044554455,0.235148514,"24388"
"Tyler Cropley","AA",27,168,1.081081081,0.273584905,0.108108108,0.11416781,0.113095238,0.232142857,"24485"
"DaShawn Keirsey Jr.","AA",26,397,1.718309859,0.27443609,0.183098591,0.16189207,0.078085642,0.234256926,"24496"
"Mickey Gasper","AA",27,188,0.824561403,0.193798449,0.105263157,0.04615385,0.138297872,0.143617021,"24759"
"Bryan Lavastida","AA",24,247,1.357142857,0.190184049,0.071428571,0.10070493,0.137651821,0.153846153,"24765"
"Andy Pages","AA",22,142,0.5,0.2875,0.078947368,0.09531773,0.176056338,0.225352112,"24816"
"Heriberto Hernandez","AA",23,478,1.239583333,0.136546184,0.135416666,0.13156553,0.158995815,0.280334728,"24878"
