Name,Level,Age,PA,GB/FB,LD%,HR/FB,SwStr%,BB%,K%,PlayerId
"Joey Terdoslavich","AA",29,318,0.803738317,0.178723404,0.112149532,0.12632437,0.088050314,0.163522012,"10593"
"Andy Wilkins","AA",29,159,0.56862745,0.157894736,0.235294117,0.11206897,0.132075471,0.251572327,"11251"
"Jon Berti","AA",28,316,1.828125,0.180995475,0.125,0.07113317,0.091772151,0.14556962,"12037"
"Ryan Brett","AA",26,174,0.94117647,0.181818181,0.058823529,0.11638591,0.028735632,0.247126436,"12138"
"Juniel Querecuto","AA",25,185,1.575,0.284722222,0,0.0636646,0.064864864,0.113513513,"12140"
"Jake Hager","AA",25,257,0.904109589,0.219101123,0.136986301,0.09270833,0.108949416,0.171206225,"12198"
"Taylor Featherston","AA",28,145,0.885714285,0.195121951,0.085714285,0.22718447,0.055172413,0.344827586,"12590"
"Erick Castillo","AA",25,151,2.233333333,0.163793103,0.066666666,0.11154599,0.046357615,0.145695364,"12990"
"Tyler Goeddel","AA",25,163,1.588235294,0.214285714,0.088235294,0.10361068,0.073619631,0.202453987,"13180"
"Michael Reed","AA",25,175,1.322580645,0.242105263,0.129032258,0.11989101,0.171428571,0.245714285,"13228"
"Peter O'Brien","AA",27,286,0.409090909,0.173333333,0.227272727,0.14369748,0.132867132,0.325174825,"13288"
"Wynton Bernard","AA",27,118,2.19047619,0.202380952,0.095238095,0.08666667,0.084745762,0.169491525,"13408"
"Tony Renda","AA",27,108,0.707317073,0.156626506,0.073170731,0.05596107,0.083333333,0.12037037,"13443"
"Elier Hernandez","AA",23,381,1.545454545,0.211267605,0.034090909,0.12356322,0.036745406,0.186351706,"13750"
"Tomas Nido","AA",24,228,1.194444444,0.131868131,0.069444444,0.15549598,0.030701754,0.157894736,"13755"
"Tyler Heineman","AA",27,273,0.747252747,0.180412371,0.043956043,0.06454816,0.131868131,0.117216117,"13897"
"Seth Mejias-Brean","AA",27,138,1.962962962,0.157894736,0.074074074,0.08687616,0.079710144,0.20289855,"13905"
"Alfredo Gonzalez","AA",25,112,1.59090909,0.229729729,0.09090909,0.11455847,0.053571428,0.232142857,"14267"
"Harold Ramirez","AA",23,505,1.463414634,0.183288409,0.089430894,0.1408686,0.053465346,0.174257425,"14387"
"Luis Marte","AA",24,253,1.698113207,0.2513089,0.056603773,0.14662085,0.027667984,0.18972332,"14515"
"Gabriel Guerrero","AA",24,107,1.52173913,0.216216216,0.086956521,0.19487179,0.06542056,0.242990654,"14528"
"Anthony Santander","AA",23,222,0.858974358,0.171428571,0.064102564,0.09167672,0.045045045,0.144144144,"14551"
"Webster Rivas","AA",27,233,1.186440677,0.23668639,0.06779661,0.09242762,0.055793991,0.201716738,"14636"
"Harold Castro","AA",24,116,2.38095238,0.211111111,0,0.09468822,0.034482758,0.181034482,"14691"
"Mike Yastrzemski","AA",27,117,0.794117647,0.175675675,0.029411764,0.11160714,0.085470085,0.256410256,"14854"
"Zach Green","AA",24,312,0.401869158,0.214659685,0.158878504,0.15308642,0.089743589,0.256410256,"14973"
"Dom Nunez","AA",23,377,0.909090909,0.16,0.081818181,0.09078498,0.122015915,0.193633952,"15055"
"Jonathan Davis","AA",26,358,1.067961165,0.158102766,0.048543689,0.07118412,0.097765363,0.148044692,"15104"
"Josh VanMeter","AA",23,121,1.458333333,0.202702702,0.041666666,0.06566604,0.190082644,0.157024793,"15170"
"Jeff McNeil","AA",26,241,0.612903225,0.197860962,0.150537634,0.09644087,0.091286307,0.095435684,"15362"
"Aristides Aquino","AA",24,445,0.876033057,0.211805555,0.165289256,0.1748959,0.078651685,0.251685393,"15482"
"Abiatal Avelino","AA",23,211,1.274509803,0.231788079,0.196078431,0.10471204,0.085308056,0.17535545,"15496"
"Jamie Westbrook","AA",23,443,1,0.195121951,0.113636363,0.11599512,0.054176072,0.16027088,"15504"
"Joseph Odom","AA",26,290,1.409836065,0.226315789,0.081967213,0.12594458,0.075862068,0.251724137,"15535"
"Gosuke Katoh","AA",23,503,1.277777777,0.196078431,0.046296296,0.09925187,0.123260437,0.244532803,"15697"
"Raudy Read","AA",24,161,1.065217391,0.188034188,0.065217391,0.13356164,0.068322981,0.186335403,"15766"
"Yonathan Daza","AA",24,228,1.081081081,0.193717277,0.054054054,0.09186352,0.030701754,0.105263157,"15794"
"Erick Mejia","AA",23,602,1.697674418,0.198156682,0.038759689,0.08798571,0.071428571,0.162790697,"15817"
"Travis Demeritte","AA",23,494,0.846774193,0.199300699,0.137096774,0.11183295,0.115384615,0.283400809,"15958"
"Deivy Grullon","AA",22,353,1.451219512,0.186234817,0.25609756,0.14823529,0.050991501,0.229461756,"15988"
"Taylor Gushue","AA",24,386,0.621212121,0.147410358,0.075757575,0.14315353,0.095854922,0.240932642,"16098"
"Nick Gordon","AA",22,181,1.34090909,0.258992805,0.113636363,0.11813644,0.06077348,0.14917127,"16337"
"Brian Navarreto","AA",23,380,1.545454545,0.248322147,0.045454545,0.10876623,0.036842105,0.15,"16398"
"Domingo Leyba","AA",22,358,0.827586206,0.208955223,0.043103448,0.07252216,0.097765363,0.12849162,"16404"
"Sergio Alcantara","AA",21,494,1.594059405,0.236151603,0.00990099,0.07299643,0.085020242,0.192307692,"16417"
"Jason Martin","AA",22,289,1.43283582,0.151041666,0.134328358,0.0915493,0.096885813,0.211072664,"16429"
"Forrest Wall","AA",22,337,0.902173913,0.162679425,0.076086956,0.12179017,0.089020771,0.261127596,"16496"
"Ryan McBroom","AA",26,111,1,0.226666666,0.137931034,0.10526316,0.063063063,0.243243243,"16524"
"Shed Long Jr.","AA",22,522,2.069767441,0.182662538,0.139534883,0.13661757,0.109195402,0.235632183,"16542"
"Connor Joe","AA",25,248,0.879310344,0.248275862,0.189655172,0.09933775,0.153225806,0.229838709,"16572"
"Jason Vosler","AA",24,282,0.397959183,0.184523809,0.122448979,0.10058188,0.131205673,0.24822695,"16686"
"Jose Trevino","AA",25,201,1.049180327,0.198717948,0.049180327,0.06571429,0.064676616,0.134328358,"16725"
"Brian O'Grady","AA",26,214,0.552631578,0.163120567,0.078947368,0.12410501,0.126168224,0.191588785,"16729"
"Braxton Lee","AA",24,127,1.25,0.162790697,0.03125,0.06403013,0.125984251,0.149606299,"16839"
"John Nogowski","AA",25,347,1.301075268,0.230215827,0.129032258,0.04295403,0.118155619,0.060518731,"16852"
"Aramis Garcia","AA",25,328,1.083333333,0.222222222,0.13095238,0.12785016,0.060975609,0.231707317,"16925"
"Jonah Heim","AA",23,154,1.261904761,0.181034482,0.023809523,0.09252669,0.064935064,0.142857142,"16930"
"Lane Thomas","AA",22,435,1.202020202,0.221428571,0.212121212,0.08480565,0.098850574,0.232183908,"16939"
"Edmundo Sosa","AA",22,279,0.951807228,0.217391304,0.084337349,0.13519092,0.032258064,0.186379928,"17022"
"Miguel Gomez","AA",25,201,1.224137931,0.218181818,0.068965517,0.11459754,0.03482587,0.139303482,"17075"
"Monte Harrison","AA",22,583,1.46,0.171717171,0.19,0.17807055,0.075471698,0.368782161,"17216"
"Alex Jackson","AA",22,252,0.948275862,0.209790209,0.086206896,0.1753507,0.079365079,0.309523809,"17276"
"Bobby Bradley","AA",22,421,0.88034188,0.153846153,0.205128205,0.14028314,0.106888361,0.249406175,"17278"
"Michael Chavis","AA",22,139,1.166666666,0.235294117,0.2,0.13414634,0.093525179,0.251798561,"17321"
"Cole Tucker","AA",21,589,1.071428571,0.157384987,0.029761904,0.08409586,0.093378607,0.176570458,"17326"
"Willi Castro","AA",21,524,1.264462809,0.240997229,0.074380165,0.11164274,0.064885496,0.208015267,"17338"
"Jose Siri","AA",22,283,0.56321839,0.170731707,0.137931034,0.21713147,0.084805653,0.32155477,"17452"
"Kelvin Gutierrez","AA",23,513,1.508474576,0.177777777,0.093220338,0.12094241,0.070175438,0.210526315,"17468"
"Narciso Crook","AA",22,186,1.459459459,0.247933884,0.054054054,0.15472779,0.096774193,0.220430107,"17473"
"Troy Stokes Jr.","AA",22,551,0.761904761,0.172523961,0.1292517,0.13750571,0.117967332,0.266787658,"17478"
"Eloy Jimenez","AA",21,228,1.03076923,0.204819277,0.153846153,0.12363636,0.078947368,0.171052631,"17484"
"Taylor Ward","AA",24,179,1.076923076,0.276785714,0.153846153,0.08476821,0.162011173,0.184357541,"17548"
"Myles Straw","AA",23,294,2.674418604,0.233009708,0.023255813,0.02599653,0.119047619,0.142857142,"17620"
"Vimael Machin","AA",24,296,0.953488372,0.147208121,0.058139534,0.07389163,0.131756756,0.182432432,"17684"
"Skye Bolt","AA",24,315,1.25,0.213592233,0.138888888,0.11603546,0.085714285,0.238095238,"17723"
"Richie Martin","AA",23,509,2.523809523,0.19346049,0.071428571,0.1149719,0.086444007,0.168958742,"17736"
"Josh Lester","AA",23,539,0.945945945,0.167630057,0.141891891,0.11618445,0.113172541,0.218923933,"17737"
"Braden Bishop","AA",24,394,1.73076923,0.228260869,0.102564102,0.08541393,0.093908629,0.172588832,"17806"
"Drew Jackson","AA",24,410,1.07368421,0.205645161,0.157894736,0.11757188,0.109756097,0.226829268,"17807"
"Luis Alexander Basabe","AA",21,270,0.868852459,0.269230769,0.098360655,0.11666667,0.111111111,0.281481481,"17839"
"Brendan Rodgers","AA",21,402,1.103773584,0.194945848,0.160377358,0.11748252,0.074626865,0.189054726,"17907"
"Isan Diaz","AA",22,356,1.012048192,0.16080402,0.120481927,0.09102816,0.148876404,0.266853932,"17922"
"Cedric Mullins","AA",23,218,1.0625,0.228070175,0.09375,0.06588235,0.068807339,0.128440366,"17929"
"Sam Hilliard","AA",24,484,1.237623762,0.192857142,0.08910891,0.15621735,0.084710743,0.311983471,"17954"
"Ty France","AA",23,479,0.978723404,0.195965417,0.120567375,0.09177928,0.068893528,0.146137787,"17982"
"Mark Mathias","AA",23,476,0.777777777,0.210526315,0.059259259,0.0930824,0.123949579,0.197478991,"18032"
"Jake Cronenworth","AA",24,470,1.806451612,0.245664739,0.043010752,0.03941909,0.091489361,0.14680851,"18036"
"Sam Haggerty","AA",24,351,1.260273972,0.19117647,0.05479452,0.0988287,0.162393162,0.219373219,"18054"
"Austin Allen","AA",24,498,1.129032258,0.256338028,0.177419354,0.10564474,0.074297188,0.194779116,"18083"
"Nathan Lukes","AA",23,484,1.181818181,0.230320699,0.049586776,0.12954796,0.064049586,0.19214876,"18123"
"LaMonte Wade Jr.","AA",24,201,1.358490566,0.177631578,0.132075471,0.04191617,0.129353233,0.099502487,"18126"
"Ka'ai Tom","AA",24,484,0.909090909,0.202531645,0.09090909,0.09298532,0.095041322,0.210743801,"18136"
"Patrick Mazeika","AA",24,341,0.823529411,0.158914728,0.075630252,0.05792904,0.114369501,0.102639296,"18142"
"Seth Brown","AA",25,555,1.108527131,0.252747252,0.108527131,0.11941009,0.084684684,0.255855855,"18171"
"Nick Dini","AA",24,304,0.833333333,0.218009478,0.088888888,0.10084826,0.039473684,0.210526315,"18206"
"Brett Sullivan","AA",24,466,1.08029197,0.227642276,0.05109489,0.04968153,0.072961373,0.118025751,"18217"
"Daz Cameron","AA",21,226,1.16,0.265306122,0.1,0.1,0.110619469,0.234513274,"18353"
"Austin Riley","AA",21,109,0.892857142,0.242857142,0.214285714,0.12098765,0.073394495,0.256880733,"18360"
"Jermaine Palacios","AA",21,180,1.357142857,0.18852459,0.023809523,0.12625538,0.061111111,0.233333333,"18371"
"Ryan Mountcastle","AA",21,428,0.992125984,0.199367088,0.102362204,0.14237968,0.060747663,0.184579439,"18373"
"Trey Amburgey","AA",23,517,0.986394557,0.21081081,0.108843537,0.09796574,0.042553191,0.208897485,"18425"
"P.J. Higgins","AA",25,160,1.04347826,0.20338983,0.02173913,0.07006369,0.075,0.16875,"18433"
"Chris Gittens","AA",24,213,1.2,0.168067226,0.133333333,0.12528217,0.126760563,0.305164319,"18482"
"Trent Grisham","AA",21,405,0.885964912,0.129554655,0.061403508,0.09079365,0.155555555,0.214814814,"18564"
"Luis Arraez","AA",21,195,1.489361702,0.273291925,0.042553191,0.05317769,0.066666666,0.082051282,"18568"
"Ke'Bryan Hayes","AA",21,508,0.928571428,0.163380281,0.045454545,0.05937016,0.112204724,0.16535433,"18577"
"Jared Walsh","AA",24,173,0.857142857,0.227722772,0.19047619,0.12554745,0.121387283,0.277456647,"18607"
"Ramon Urias","AA",24,194,1.106382978,0.287769784,0.170212765,0.08521971,0.092783505,0.149484536,"18795"
"Josh Naylor","AA",21,574,1.387755102,0.18372093,0.115646258,0.06862281,0.111498257,0.120209059,"18839"
"Jahmai Jones","AA",20,212,1.4,0.175572519,0.044444444,0.12626263,0.113207547,0.240566037,"18872"
"Brandon Lowe","AA",23,240,0.928571428,0.255172413,0.142857142,0.12356021,0.145833333,0.229166666,"18882"
"Seby Zavala","AA",24,232,0.962962962,0.220588235,0.203703703,0.13434453,0.11637931,0.280172413,"18887"
"Danny Mendick","AA",24,529,0.952380952,0.21369863,0.095238095,0.07636888,0.107750472,0.170132325,"18889"
"Lucius Fox","AA",20,120,1.76,0.188235294,0.04,0.08137045,0.066666666,0.166666666,"18899"
"Yusniel Diaz","AA",21,416,1.115384615,0.225352112,0.10576923,0.09975369,0.141826923,0.161057692,"18905"
"Corey Ray","AA",23,600,0.854304635,0.2,0.178807947,0.17509562,0.1,0.293333333,"19170"
"Zack Collins","AA",23,531,0.771929824,0.243445692,0.131578947,0.11554983,0.190207156,0.297551789,"19181"
"Will Smith","AA",23,307,0.906666666,0.231182795,0.253333333,0.10621558,0.117263843,0.244299674,"19197"
"Taylor Kohlwey","AA",23,240,1.166666666,0.292517006,0.125,0.0843254,0.104166666,0.241666666,"19212"
"Chris Okey","AA",23,285,1.25,0.16847826,0.073529411,0.14316013,0.059649122,0.252631578,"19245"
