Name,Team,PA,1B,2B,3B,HR,BB,SO,FB%,GB%,NameASCII,PlayerId,MLBAMID
"Raimel Tapia","COL",533,99,26,2,6,40,70,0.164285714,0.673809523,"Raimel Tapia",14350,606132
"Shed Long Jr.","SEA",121,13,4,1,4,9,39,0.225352112,0.633802816,"Shed Long Jr.",16542,643418
"Erik González","PIT",229,41,7,1,2,8,40,0.187845303,0.61878453,"Erik Gonzalez",13369,570481
"Kelvin Gutiérrez","- - -",295,49,8,3,3,19,76,0.239795918,0.607142857,"Kelvin Gutierrez",17468,642721
"Nick Madrigal","CHW",215,45,10,4,2,11,17,0.197802197,0.598901098,"Nick Madrigal",20521,663611
"Jon Berti","MIA",271,34,10,1,4,32,61,0.212643678,0.586206896,"Jon Berti",12037,542932
"Tyler Wade","NYY",145,28,5,1,0,16,37,0.231707317,0.585365853,"Tyler Wade",15730,642180
"Jarrod Dyson","- - -",149,19,7,2,0,10,33,0.1875,0.572916666,"Jarrod Dyson",4866,502481
"Kevin Kiermaier","TBR",390,60,19,7,4,33,99,0.25,0.571428571,"Kevin Kiermaier",11038,595281
"Jorge Alfaro","MIA",311,52,15,1,4,11,99,0.224489795,0.571428571,"Jorge Alfaro",12180,595751
"Shogo Akiyama","CIN",183,25,8,0,0,14,40,0.195121951,0.569105691,"Shogo Akiyama",27461,673451
"Ke'Bryan Hayes","PIT",396,65,20,2,6,31,87,0.252707581,0.566787003,"Ke'Bryan Hayes",18577,663647
"Luis García Jr.","WSN",247,31,18,2,6,11,43,0.238341968,0.564766839,"Luis Garcia Jr.",20391,671277
"Kevan Smith","- - -",106,13,3,0,0,10,31,0.265625,0.5625,"Kevan Smith",12284,607345
"Phillip Evans","PIT",247,34,5,0,5,28,53,0.285714285,0.559006211,"Phillip Evans",12950,595943
"Leury García","CHW",474,80,22,4,5,41,97,0.24137931,0.55799373,"Leury Garcia",5913,544725
"Eric Hosmer","SDP",565,97,28,0,12,48,99,0.257907542,0.554744525,"Eric Hosmer",3516,543333
"Nicky Lopez","KCR",565,120,21,6,2,49,74,0.233173076,0.552884615,"Nicky Lopez",19339,670032
"Tim Anderson","CHW",551,115,29,2,17,22,119,0.220048899,0.552567237,"Tim Anderson",15172,641313
"Luke Williams","PHI",108,19,4,0,1,10,23,0.260869565,0.550724637,"Luke Williams",19931,663897
"David Peralta","ARI",538,80,30,8,8,46,92,0.261964735,0.549118387,"David Peralta",2136,444482
"Starling Marte","- - -",526,103,27,3,12,43,99,0.24109589,0.547945205,"Starling Marte",9241,516782
"Nathaniel Lowe","TEX",642,102,24,3,18,80,162,0.273869346,0.54522613,"Nathaniel Lowe",19566,663993
"Yadiel Hernandez","WSN",289,54,8,1,9,22,59,0.228155339,0.54368932,"Yadiel Hernandez",19334,628450
"Christian Yelich","MIL",475,69,19,2,9,70,113,0.236933797,0.543554006,"Christian Yelich",11477,592885
"Owen Miller","CLE",202,27,8,0,4,9,54,0.253623188,0.54347826,"Owen Miller",24655,680911
"Wilson Ramos","- - -",163,18,5,0,8,9,36,0.275862068,0.543103448,"Wilson Ramos",1433,467092
"Andrelton Simmons","MIN",451,77,12,0,3,32,62,0.275362318,0.542028985,"Andrelton Simmons",10847,592743
"Yonathan Daza","COL",331,69,12,2,2,21,60,0.2406639,0.539419087,"Yonathan Daza",15794,602074
