Name,Team,PA,1B,2B,3B,HR,BB,SO,FB%,GB%,NameASCII,PlayerId,MLBAMID
"Yandy Díaz","TBR",138,30,3,0,2,23,17,0.113402061,0.659793814,"Yandy Diaz",16578,650490
"Shed Long Jr.","SEA",128,12,5,0,3,11,37,0.2625,0.6375,"Shed Long Jr.",16542,643418
"Luis Urías","MIL",120,21,4,1,0,10,32,0.184210526,0.631578947,"Luis Urias",16622,649966
"Roberto Pérez","CLE",110,13,2,0,1,11,38,0.169491525,0.627118644,"Roberto Perez",2900,547379
"Tommy Pham","SDP",125,18,2,0,3,15,27,0.243902439,0.621951219,"Tommy Pham",2967,502054
"Isiah Kiner-Falefa","TEX",228,49,4,3,3,14,32,0.217877094,0.620111731,"Isiah Kiner-Falefa",16512,643396
"Luis García Jr.","WSN",139,29,6,0,2,5,29,0.163461538,0.60576923,"Luis Garcia Jr.",20391,671277
"Jonathan Villar","- - -",207,36,5,0,2,19,54,0.212121212,0.598484848,"Jonathan Villar",10071,542340
"Luis Rengifo","LAA",106,12,1,0,1,14,26,0.265625,0.59375,"Luis Rengifo",19858,650859
"Amed Rosario","NYM",147,28,3,1,4,4,34,0.266055045,0.577981651,"Amed Rosario",15518,642708
"DJ LeMahieu","NYY",216,49,10,2,10,18,21,0.211428571,0.565714285,"DJ LeMahieu",9874,518934
"Colin Moran","PIT",200,24,10,0,10,19,52,0.285714285,0.563492063,"Colin Moran",16909,592567
"J.D. Davis","NYM",229,32,9,0,6,31,56,0.237037037,0.562962962,"J.D. Davis",16219,605204
"Kevin Kiermaier","TBR",159,19,5,3,3,20,42,0.197916666,0.5625,"Kevin Kiermaier",11038,595281
"Cameron Maybin","- - -",101,13,8,1,1,7,25,0.264705882,0.558823529,"Cameron Maybin",5223,457727
"Josh Bell","PIT",223,33,3,0,8,22,59,0.257142857,0.557142857,"Josh Bell",13145,605137
"Raimel Tapia","COL",206,48,8,2,1,14,38,0.2147651,0.557046979,"Raimel Tapia",14350,606132
"Nico Hoerner","CHC",126,20,4,0,0,12,24,0.235294117,0.552941176,"Nico Hoerner",21479,663538
"Nick Madrigal","CHW",109,32,3,0,0,4,7,0.1875,0.552083333,"Nick Madrigal",20521,663611
"Nicky Lopez","KCR",192,25,8,0,1,18,41,0.192,0.552,"Nicky Lopez",19339,670032
