Name,Level,Age,PA,GB/FB,LD%,HR/FB,SwStr%,BB%,K%,PlayerId
"Grant Green","AAA",29,295,1.6,0.223880597,0.016666666,0.12863436,0.091525423,0.210169491,"10053"
"Max Stassi","AAA",26,287,1.109375,0.201183431,0.1875,0.09929078,0.132404181,0.233449477,"10059"
"Tomas Telis","AAA",26,306,2.029850746,0.188,0.074626865,0.05765595,0.058823529,0.094771241,"10067"
"Dustin Ackley","AAA",29,505,1.17293233,0.218918918,0.045112781,0.04764173,0.106930693,0.140594059,"10099"
"Adrian Nieto","AAA",27,101,2,0.108108108,0,0.0994152,0.04950495,0.168316831,"10294"
"Eury Perez","AAA",27,270,2.354166666,0.186868686,0.020833333,0.09217578,0.062962962,0.148148148,"10299"
"Oswaldo Arcia","AAA",26,400,0.754385964,0.215686274,0.210526315,0.10793466,0.1125,0.215,"10306"
"Danny Ortiz","AAA",27,441,0.889705882,0.228228228,0.110294117,0.11404639,0.0430839,0.181405895,"10317"
"Rafael Ortega","AAA",26,472,1.013888888,0.21409214,0.041666666,0.04916136,0.097457627,0.103813559,"10323"
"Ramon Cabrera","AAA",27,216,1.063492063,0.192546583,0.079365079,0.09581646,0.064814814,0.157407407,"10327"
"Rey Fuentes","AAA",26,192,2.896551724,0.236486486,0,0.08392603,0.0625,0.15625,"10329"
"Gift Ngoepe","AAA",27,299,1.04347826,0.189655172,0.086956521,0.12254902,0.093645484,0.304347826,"10340"
"John Ryan Murphy","AAA",26,293,1.209876543,0.182648401,0.074074074,0.07862191,0.098976109,0.146757679,"10346"
"Mike Ohlman","AAA",26,332,0.54117647,0.215568862,0.14117647,0.12275664,0.144578313,0.346385542,"10347"
"Wilfredo Tovar","AAA",25,391,1.346153846,0.172881355,0.057692307,0.07843137,0.069053708,0.163682864,"10416"
"Rocky Gale","AAA",29,377,1.704545454,0.182130584,0.022727272,0.07761194,0.063660477,0.145888594,"10533"
"Joey Terdoslavich","AAA",28,397,1.292929292,0.214532871,0.07070707,0.10980392,0.10579345,0.148614609,"10593"
"Bryce Brentz","AAA",28,494,1.181818181,0.221238938,0.256198347,0.12255679,0.085020242,0.220647773,"10607"
