Name,Level,Age,PA,GB/FB,LD%,HR/FB,SwStr%,BB%,K%,PlayerId
"Jorge Bonifacio","AA",28,198,0.351351351,0.23076923,0.162162162,0.1147541,0.121212121,0.207070707,"12174"
"Dalton Pompey","AA",28,109,0.882352941,0.168831168,0.147058823,0.12,0.100917431,0.183486238,"12797"
"Joey Meneses","AA",29,207,1.06557377,0.187096774,0.163934426,0.0726601,0.057971014,0.169082125,"14366"
"Zack Granite","AA",28,232,1.163636363,0.184931506,0.09090909,0.07172996,0.137931034,0.211206896,"15343"
"Allen Cordoba","AA",25,296,1.166666666,0.260663507,0.069444444,0.10251955,0.097972972,0.141891891,"15722"
"Ryder Jones","AA",27,253,1.29032258,0.215469613,0.161290322,0.13778706,0.059288537,0.201581027,"15982"
"Brian O'Keefe","AA",27,208,0.851851851,0.212598425,0.203703703,0.13618677,0.081730769,0.283653846,"16680"
"Braxton Lee","AA",27,123,2.55,0.154761904,0,0.08484848,0.056910569,0.235772357,"16839"
"Gavin Cecchini","AA",27,179,0.963636363,0.2,0.09090909,0.11179173,0.050279329,0.184357541,"17005"
"Jose Herrera","AA",24,148,0.815789473,0.21590909,0.131578947,0.10784314,0.128378378,0.263513513,"17040"
"Meibrys Viloria","AA",24,130,1.681818181,0.233766233,0.136363636,0.10786106,0.138461538,0.246153846,"17109"
"Josh Lester","AA",26,337,0.752941176,0.239795918,0.294117647,0.18939394,0.077151335,0.323442136,"17737"
"Jakson Reetz","AA",25,255,0.928571428,0.260273972,0.071428571,0.14661654,0.094117647,0.270588235,"17837"
"Jermaine Palacios","AA",24,468,1.426966292,0.282392026,0.213483146,0.1340812,0.098290598,0.232905982,"18371"
"Brendon Davis","AA",23,131,0.487179487,0.256410256,0.205128205,0.1436673,0.13740458,0.259541984,"18587"
"Donny Sands","AA",25,215,0.851351351,0.179640718,0.135135135,0.08557457,0.074418604,0.116279069,"18603"
"Nick Plummer","AA",24,376,1.349206349,0.263681592,0.206349206,0.12630208,0.140957446,0.287234042,"18690"
"Jose Azocar","AA",25,343,1.602941176,0.22368421,0.132352941,0.08795963,0.102040816,0.206997084,"18821"
"Stone Garrett","AA",25,443,0.956896551,0.209059233,0.215517241,0.18013572,0.045146726,0.266365688,"19273"
"Alex Call","AA",26,180,1.0625,0.238461538,0.104166666,0.06039326,0.116666666,0.144444444,"19296"
"Lucas Erceg","AA",26,112,1.09375,0.182926829,0.09375,0.14537445,0.0625,0.196428571,"19360"
"Andruw Monasterio","AA",24,304,0.684782608,0.188481675,0.076086956,0.10898966,0.09868421,0.25,"19455"
"Otto Lopez","AA",22,314,1.769230769,0.166666666,0.046153846,0.08705882,0.089171974,0.197452229,"19608"
"David MacKinnon","AA",26,426,0.811475409,0.213523131,0.106557377,0.06476079,0.122065727,0.19483568,"19625"
"Dairon Blanco","AA",28,329,1.166666666,0.176470588,0.107142857,0.13409648,0.075987841,0.194528875,"19779"
"Jhonny Pereda","AA",25,148,1.225,0.183486238,0,0.08047945,0.148648648,0.114864864,"19802"
