Name,Level,Age,PA,GB/FB,LD%,HR/FB,SwStr%,BB%,K%,PlayerId
"Christian Bethancourt","AAA",26,418,0.964539007,0.128930817,0.141843971,0.14206514,0.047846889,0.181818181,"10028"
"Tomas Telis","AAA",27,306,2.903846153,0.194444444,0.076923076,0.04930796,0.065359477,0.098039215,"10067"
"Dustin Ackley","AAA",30,284,0.988095238,0.204761904,0.047619047,0.04177109,0.13028169,0.112676056,"10099"
"Francisco Arcia","AAA",28,168,2.333333333,0.243697478,0.111111111,0.07757167,0.06547619,0.148809523,"10286"
"Eury Perez","AAA",28,157,2.5,0.146341463,0.033333333,0.10294118,0.044585987,0.121019108,"10299"
"Danny Ortiz","AAA",28,418,0.866141732,0.191126279,0.118110236,0.11974922,0.045454545,0.241626794,"10317"
"Danny Santana","AAA",27,342,1.0625,0.178423236,0.166666666,0.14208909,0.043859649,0.233918128,"10322"
"Rafael Ortega","AAA",27,328,0.99047619,0.153846153,0.019047619,0.05008078,0.134146341,0.094512195,"10323"
"Rey Fuentes","AAA",27,342,1.309523809,0.181434599,0.071428571,0.11094564,0.099415204,0.187134502,"10329"
"Slade Heathcott","AAA",27,120,0.884615384,0.309859154,0.038461538,0.20208333,0.083333333,0.308333333,"10336"
"Gift Ngoepe","AAA",28,159,1.08,0.235294117,0.08,0.14914773,0.157232704,0.396226415,"10340"
"Mike Ohlman","AAA",27,276,0.642857142,0.212328767,0.142857142,0.1088211,0.130434782,0.329710144,"10347"
"Domingo Santana","AAA",25,227,1.210526315,0.236363636,0.210526315,0.15653041,0.158590308,0.330396475,"10348"
"Tommy Joseph","AAA",26,357,0.574803149,0.173553719,0.16535433,0.11944647,0.078431372,0.215686274,"10349"
"Wilfredo Tovar","AAA",26,389,1.38317757,0.203125,0.046728971,0.04882943,0.061696658,0.107969151,"10416"
"Rocky Gale","AAA",30,318,1.426829268,0.194331983,0.048780487,0.08913649,0.037735849,0.157232704,"10533"
"Bryce Brentz","AAA",29,214,0.921568627,0.216,0.294117647,0.15285881,0.088785046,0.313084112,"10607"
"David Freitas","AAA",29,167,1.516129032,0.33898305,0.129032258,0.08970588,0.101796407,0.161676646,"10619"
"Rob Brantly","AAA",28,246,1.295081967,0.226519337,0.032786885,0.13400901,0.032520325,0.199186991,"10655"
"Gio Urshela","AAA",26,240,1.285714285,0.25,0.031746031,0.10034602,0.054166666,0.129166666,"10681"
"Mike Olt","AAA",29,279,0.819672131,0.212765957,0.180327868,0.11769547,0.161290322,0.308243727,"10698"
"Ryan LaMarre","AAA",29,104,2.384615384,0.301587301,0,0.10952381,0.086538461,0.278846153,"10700"
"Lane Adams","AAA",28,199,1.4,0.214953271,0,0.16774194,0.090452261,0.346733668,"10767"
"Tyler Saladino","AAA",28,154,0.851063829,0.147058823,0.063829787,0.07448494,0.136363636,0.181818181,"10807"
"Rangel Ravelo","AAA",26,399,1.148148148,0.22147651,0.12037037,0.07462687,0.105263157,0.122807017,"10839"
"Phil Gosselin","AAA",29,325,1.272727272,0.229074889,0.064935064,0.07526882,0.086153846,0.193846153,"10953"
"Christian Colon","AAA",29,368,1.411111111,0.21942446,0.066666666,0.06642066,0.108695652,0.103260869,"11145"
"Cameron Rupp","AAA",29,334,0.833333333,0.218579234,0.192307692,0.14336409,0.125748502,0.320359281,"11146"
"Elliot Soto","AAA",28,268,2.354166666,0.190954773,0.020833333,0.07692308,0.089552238,0.152985074,"11155"
"Ramon Flores","AAA",26,223,1.326923076,0.209150326,0.057692307,0.05621622,0.103139013,0.188340807,"11165"
"Brett Nicholas","AAA",29,456,1.073170731,0.210526315,0.1300813,0.1369863,0.08114035,0.188596491,"11192"
"Stephen Cardullo","AAA",30,226,0.983870967,0.24074074,0.048387096,0.14368482,0.075221238,0.185840707,"11204"
"Mike Freeman","AAA",30,331,1.459459459,0.201754385,0.081081081,0.09741248,0.0755287,0.205438066,"11241"
"Jabari Blash","AAA",28,346,0.786666666,0.259668508,0.386666666,0.15814917,0.141618497,0.294797687,"11247"
"Aaron Altherr","AAA",27,134,1.03030303,0.182926829,0.06060606,0.14365672,0.104477611,0.276119402,"11270"
"Adrian Sanchez","AAA",27,295,1.567567567,0.170305676,0.054054054,0.08401826,0.054237288,0.142372881,"11338"
"Drew Maggi","AAA",29,260,1.653061224,0.252873563,0.020408163,0.10147783,0.08076923,0.219230769,"11381"
"Matthew den Dekker","AAA",30,339,1.154761904,0.199115044,0.166666666,0.13171081,0.061946902,0.250737463,"11385"
"Ronald Torreyes","AAA",25,106,1.321428571,0.244186046,0,0.06944444,0.066037735,0.103773584,"11400"
"Rob Segedin","AAA",29,134,0.702127659,0.14893617,0.063829787,0.09126214,0.111940298,0.179104477,"11446"
"Dixon Machado","AAA",26,171,1.435897435,0.188034188,0.025641025,0.07643312,0.105263157,0.16374269,"11472"
"Henry Ramos","AAA",26,393,1.30927835,0.216783216,0.103092783,0.10721649,0.078880407,0.175572519,"11481"
"Kaleb Cowart","AAA",26,279,0.916666666,0.225961538,0.071428571,0.11930165,0.064516129,0.186379928,"11494"
"Rosell Herrera","AAA",25,139,1,0.165048543,0.093023255,0.09586466,0.07913669,0.158273381,"11611"
"Brandon Drury","AAA",25,235,1.763157894,0.233576642,0.131578947,0.08517034,0.136170212,0.24680851,"11615"
"Drew Robinson","AAA",26,241,0.916666666,0.1015625,0.166666666,0.13333333,0.112033195,0.348547717,"11761"
"Tyler Austin","AAA",26,148,0.972222222,0.252631578,0.25,0.15548282,0.06081081,0.283783783,"11850"
"Mason Williams","AAA",26,356,1.261363636,0.225680933,0.068181818,0.07195301,0.081460674,0.160112359,"11859"
