Name,Level,Age,PA,GB/FB,LD%,HR/FB,SwStr%,BB%,K%,PlayerId
"Webster Rivas","AA",31,246,1.511111111,0.270967741,0.022222222,0.08960915,0.162601626,0.199186991,"14636"
"Brandon Dixon","AA",30,114,0.621621621,0.210526315,0.27027027,0.13865546,0.105263157,0.219298245,"15214"
"Abiatal Avelino","AA",27,230,1.254237288,0.19879518,0.118644067,0.13161132,0.060869565,0.165217391,"15496"
"Raudy Read","AA",28,329,1.179487179,0.209302325,0.217948717,0.11990408,0.130699088,0.185410334,"15766"
"Domingo Leyba","AA",26,444,0.874015748,0.242038216,0.078740157,0.06332454,0.132882882,0.137387387,"16404"
"Johneshwy Fargas","AA",27,155,0.857142857,0.152173913,0.071428571,0.12335526,0.109677419,0.225806451,"16446"
"John Nogowski","AA",29,132,0.82051282,0.260416666,0.102564102,0.05152672,0.151515151,0.098484848,"16852"
"Jakson Reetz","AA",26,273,0.644736842,0.193548387,0.289473684,0.1371179,0.095238095,0.263736263,"17837"
"Corey Ray","AA",27,170,0.851063829,0.163461538,0.170212765,0.1751938,0.082352941,0.3,"19170"
"Andruw Monasterio","AA",25,188,0.877192982,0.189393939,0.140350877,0.07529723,0.132978723,0.138297872,"19455"
"Andrew Young","AA",28,258,0.74137931,0.273381294,0.189655172,0.15764482,0.108527131,0.333333333,"19521"
"Simon Muzziotti","AA",23,165,1.113636363,0.17699115,0.113636363,0.07165109,0.115151515,0.187878787,"19553"
"Chuckie Robinson","AA",27,126,2.285714285,0.178571428,0.142857142,0.12179487,0.071428571,0.238095238,"19824"
"Sandro Fabian","AA",24,271,0.873417721,0.233160621,0.151898734,0.11742424,0.070110701,0.184501845,"19910"
"Blake Perkins","AA",25,283,0.731707317,0.197740112,0.146341463,0.12028095,0.130742049,0.233215547,"19921"
"Aaron Whitefield","AA",25,346,0.95,0.23902439,0.1125,0.15406562,0.104046242,0.268786127,"19938"
"Ryan Aguilar","AA",27,364,1.231884057,0.167567567,0.217391304,0.12874043,0.181318681,0.282967032,"19967"
"Jorge Ona","AA",25,280,1.156862745,0.225352112,0.156862745,0.1655814,0.078571428,0.367857142,"20040"
"Irving Lopez","AA",27,177,1.133333333,0.219512195,0.044444444,0.07580175,0.124293785,0.152542372,"20463"
"Jack Larsen","AA",27,528,1.269565217,0.232352941,0.086956521,0.09906817,0.136363636,0.202651515,"20510"
"Jose Devers","AA",22,255,1.093333333,0.164893617,0.026666666,0.11713666,0.05490196,0.180392156,"20540"
"CJ Alexander","AA",25,490,0.695652173,0.201754385,0.155279503,0.1318328,0.053061224,0.226530612,"20557"
"Logan Porter","AA",26,327,0.946666666,0.219251336,0.133333333,0.08982925,0.180428134,0.22324159,"20626"
"Leo Rivas","AA",24,197,0.839285714,0.258992805,0.089285714,0.09448819,0.081218274,0.177664974,"21009"
"Trey Cabbage","AA",25,136,1.555555555,0.313432835,0.555555555,0.18671454,0.147058823,0.345588235,"21078"
"Hayden Senger","AA",25,297,0.632911392,0.213414634,0.063291139,0.16606498,0.07070707,0.333333333,"21489"
"Brandon Lockridge","AA",25,464,1.086206896,0.165517241,0.120689655,0.16656822,0.077586206,0.269396551,"21496"
"Connor Kaiser","AA",25,207,1.733333333,0.293103448,0.233333333,0.13553114,0.115942028,0.289855072,"21535"
"Cesar Salazar","AA",26,351,0.612612612,0.29527559,0.144144144,0.0984375,0.068376068,0.165242165,"21587"
"Griffin Conine","AA",24,496,1.146067415,0.173160173,0.269662921,0.18068068,0.149193548,0.368951612,"21626"
"Luis De Los Santos","AA",24,449,1.844444444,0.174193548,0.111111111,0.13956311,0.07572383,0.220489977,"21682"
"Miguel Amaya","AA",23,116,1,0.117647058,0.133333333,0.12227074,0.120689655,0.24137931,"21693"
"Enmanuel Valdez","AA",23,205,0.954545454,0.289256198,0.25,0.10414201,0.165853658,0.229268292,"21716"
"Jair Camargo","AA",22,196,0.926829268,0.281818181,0.292682926,0.19060052,0.081632653,0.336734693,"21730"
"Sebastian Rivero","AA",23,178,0.736842105,0.161016949,0.087719298,0.13991163,0.084269662,0.213483146,"21735"
"Esteury Ruiz","AA",23,232,0.69090909,0.330935251,0.163636363,0.10684274,0.137931034,0.172413793,"21780"
"Andres Chaparro","AA",23,271,0.804597701,0.151351351,0.218390804,0.11392405,0.092250922,0.199261992,"21797"
"Carlos Cortes","AA",25,374,0.614754098,0.165254237,0.090163934,0.10661529,0.093582887,0.267379679,"21842"
"Bo Naylor","AA",22,220,0.821428571,0.19047619,0.107142857,0.07181719,0.204545454,0.209090909,"21865"
"Jerar Encarnacion","AA",24,136,1.2,0.223529411,0.266666666,0.16453382,0.095588235,0.257352941,"21871"
"Christopher Morel","AA",23,122,0.93548387,0.210526315,0.225806451,0.14798206,0.081967213,0.245901639,"21897"
"Dane Myers","AA",26,442,1.227722772,0.21875,0.247524752,0.12205189,0.052036199,0.266968325,"22054"
"Jeremiah Jackson","AA",22,351,0.948979591,0.162280701,0.142857142,0.14785142,0.108262108,0.219373219,"22239"
"Joe Perez","AA",22,284,1.745098039,0.23076923,0.117647058,0.09931507,0.091549295,0.246478873,"22254"
"Livan Soto","AA",22,543,1.139534883,0.218130311,0.046511627,0.09090909,0.130755064,0.187845303,"22471"
"Johnathan Rodriguez","AA",22,113,0.851851851,0.23076923,0.185185185,0.1803653,0.044247787,0.380530973,"22530"
"George Valera","AA",21,387,1.156626506,0.207964601,0.180722891,0.1237911,0.134366925,0.258397932,"22541"
"Michael Siani","AA",22,531,1.192857142,0.156593406,0.085714285,0.07747834,0.120527306,0.169491525,"22557"
"Tirso Ornelas","AA",22,492,2,0.258426966,0.079545454,0.07692308,0.087398373,0.172764227,"22566"
"Jordan Diaz","AA",21,407,2.075949367,0.231012658,0.189873417,0.11263538,0.054054054,0.149877149,"22650"
"Maikel Garcia","AA",22,369,1.506329113,0.232558139,0.050632911,0.05319914,0.111111111,0.162601626,"22715"
"Alexander Canario","AA",22,350,0.989247311,0.151376146,0.258064516,0.12659123,0.102857142,0.26,"22842"
