Name,Team,PA,1B,2B,3B,HR,BB,SO,FB%,GB%,NameASCII,PlayerId,MLBAMID
"Steven Souza Jr.","ARI",272,30,15,3,5,28,75,0.385542168,0.373493975,"Steven Souza Jr.",5667,519306
"Mike Zunino","SEA",405,37,18,0,20,24,150,0.44,0.373333333,"Mike Zunino",13265,572287
"Yoán Moncada","CHW",650,81,32,6,17,67,217,0.400552486,0.372928176,"Yoan Moncada",17232,660162
"Josh Reddick","HOU",487,73,13,2,17,49,77,0.440677966,0.372881355,"Josh Reddick",3892,502210
"Jeff Mathis","ARI",218,28,9,1,1,20,66,0.387596899,0.372093023,"Jeff Mathis",3448,425772
"Neil Walker","NYY",398,52,12,1,11,42,87,0.38697318,0.371647509,"Neil Walker",7539,435522
"Curt Casali","CIN",156,27,10,0,4,12,32,0.351851851,0.37037037,"Curt Casali",12510,592200
"Billy McKinney","- - -",132,17,7,0,6,11,33,0.390804597,0.367816091,"Billy McKinney",15654,641856
"Ian Kinsler","- - -",534,77,26,0,14,40,64,0.420187793,0.366197183,"Ian Kinsler",6195,435079
"José Peraza","CIN",683,133,31,4,14,29,75,0.379816513,0.365137614,"Jose Peraza",13593,606299
"Eric Sogard","MIL",113,10,3,0,0,12,23,0.364864864,0.364864864,"Eric Sogard",7927,519299
"Phillip Ervin","CIN",247,37,10,1,7,20,60,0.358490566,0.364779874,"Phillip Ervin",14738,640447
"Teoscar Hernández","TOR",523,56,29,7,22,41,163,0.43670886,0.36392405,"Teoscar Hernandez",13066,606192
"Freddie Freeman","ATL",707,120,44,4,23,76,132,0.31300813,0.363821138,"Freddie Freeman",5361,518692
"Evan Gattis","HOU",451,50,17,0,25,33,101,0.468152866,0.363057324,"Evan Gattis",11003,594828
"Leonys Martin","- - -",353,52,15,3,11,30,77,0.461206896,0.362068965,"Leonys Martin",11846,547982
"Luis Valbuena","LAA",288,35,9,0,9,19,100,0.439759036,0.361445783,"Luis Valbuena",4969,472528
"Nick Hundley","SFG",305,43,13,2,10,22,85,0.370558375,0.360406091,"Nick Hundley",3376,460026
"Edwin Encarnación","CLE",579,74,16,1,32,63,132,0.437333333,0.36,"Edwin Encarnacion",2151,429665
"Wilmer Flores","NYM",429,67,25,0,11,29,42,0.447592067,0.359773371,"Wilmer Flores",5827,527038
"Jorge Polanco","MIN",333,60,18,3,6,25,62,0.38034188,0.358974358,"Jorge Polanco",13152,593871
"Matt Olson","OAK",660,81,33,0,29,70,163,0.430622009,0.358851674,"Matt Olson",14344,621566
"Devin Mesoraco","- - -",274,33,10,0,11,25,52,0.466321243,0.357512953,"Devin Mesoraco",5666,519023
"Eddie Rosario","MIN",592,104,31,2,24,30,104,0.440528634,0.356828193,"Eddie Rosario",12155,592696
"Kevin Pillar","TOR",542,72,40,2,15,18,98,0.37799043,0.35645933,"Kevin Pillar",12434,607680
"Todd Frazier","NYM",472,51,18,0,18,48,112,0.457236842,0.355263157,"Todd Frazier",785,453943
"Kurt Suzuki","ATL",388,58,24,0,12,22,43,0.412903225,0.354838709,"Kurt Suzuki",8259,435559
"Nick Castellanos","DET",678,111,46,5,23,49,151,0.358050847,0.353813559,"Nick Castellanos",11737,592206
"Jesús Aguilar","MIL",566,75,25,0,35,58,143,0.409470752,0.353760445,"Jesus Aguilar",11342,542583
"Khris Davis","OAK",654,65,28,1,48,59,175,0.487745098,0.352941176,"Khris Davis",9112,501981
"Matt Joyce","OAK",246,27,9,0,7,35,53,0.391025641,0.352564102,"Matt Joyce",3353,459964
"Joey Rickard","BAL",230,33,10,1,8,15,55,0.429487179,0.352564102,"Joey Rickard",13277,572073
"Randal Grichuk","TOR",462,46,32,1,25,27,122,0.46557377,0.350819672,"Randal Grichuk",10243,545341
"Daniel Murphy","- - -",351,71,15,0,12,20,40,0.391752577,0.350515463,"Daniel Murphy",4316,502517
"Matt Kemp","LAD",506,88,25,0,21,36,115,0.381355932,0.350282485,"Matt Kemp",5631,461314
"Luke Voit","- - -",161,26,5,0,15,17,43,0.37,0.35,"Luke Voit",14811,572228
"Scott Kingery","PHI",484,69,23,2,8,24,126,0.40797546,0.349693251,"Scott Kingery",17975,664068
"Drew Butera","- - -",182,19,9,0,3,15,39,0.463414634,0.349593495,"Drew Butera",3411,460077
"Whit Merrifield","KCR",707,134,43,3,12,61,114,0.353166986,0.349328214,"Whit Merrifield",11281,593160
"Taylor Ward","LAA",147,15,3,0,6,9,45,0.438202247,0.348314606,"Taylor Ward",17548,621493
"Matt Adams","- - -",337,42,10,0,21,27,73,0.446351931,0.347639484,"Matt Adams",9393,571431
"Salvador Perez","KCR",544,70,23,0,27,17,108,0.449631449,0.346437346,"Salvador Perez",7304,521692
"Alex Bregman","HOU",705,87,51,1,31,96,85,0.43444227,0.346379647,"Alex Bregman",17678,608324
"Ryan O'Hearn","KCR",170,15,10,2,12,20,45,0.461538461,0.346153846,"Ryan O'Hearn",16442,656811
