Name,Team,PA,1B,2B,3B,HR,BB,SO,FB%,GB%,NameASCII,PlayerId,MLBAMID
"Tim Anderson","CHW",524,100,18,2,1,26,122,0.168900804,0.611260053,"Tim Anderson",15172,641313
"Ji Hwan Bae","PIT",371,56,17,2,2,30,92,0.21888412,0.596566523,"Ji Hwan Bae",23818,678225
"Raimel Tapia","- - -",169,27,4,1,3,17,40,0.242990654,0.588785046,"Raimel Tapia",14350,606132
"Jean Segura","MIA",326,56,5,2,3,22,47,0.262948207,0.58565737,"Jean Segura",5933,516416
"Nick Gonzales","PIT",128,13,8,1,2,6,36,0.283950617,0.580246913,"Nick Gonzales",27490,693304
"Eric Hosmer","CHC",100,17,3,0,2,6,25,0.264705882,0.573529411,"Eric Hosmer",3516,543333
"Christian Yelich","MIL",632,99,34,1,19,78,140,0.229268292,0.573170731,"Christian Yelich",11477,592885
"Nicky Lopez","- - -",262,40,8,3,1,26,40,0.204301075,0.569892473,"Nicky Lopez",19339,670032
"Jacob Young","WSN",121,19,7,1,0,10,22,0.24691358,0.567901234,"Jacob Young",29931,696285
"Ildemaro Vargas","WSN",286,47,13,2,4,19,20,0.268907563,0.56722689,"Ildemaro Vargas",13324,545121
"Rodolfo Castro","- - -",256,35,7,0,6,23,74,0.305194805,0.564935064,"Rodolfo Castro",21987,666801
"Nick Madrigal","CHC",294,52,16,1,2,10,24,0.248979591,0.559183673,"Nick Madrigal",20521,663611
"Kevin Kiermaier","TOR",408,63,21,6,8,29,86,0.251748251,0.555944055,"Kevin Kiermaier",11038,595281
"Alek Thomas","ARI",402,55,17,5,9,19,86,0.255172413,0.555172413,"Alek Thomas",23792,677950
"Tyler Soderstrom","OAK",138,16,1,0,3,11,43,0.301204819,0.554216867,"Tyler Soderstrom",27467,691016
"Elvis Andrus","CHW",406,67,20,1,6,25,71,0.280528052,0.551155115,"Elvis Andrus",8709,462101
"William Contreras","MIL",611,100,38,1,17,63,126,0.288461538,0.550480769,"William Contreras",20503,661388
"Reese McGuire","BOS",206,36,12,1,1,11,53,0.251908396,0.54961832,"Reese McGuire",15674,624512
"DJ LeMahieu","NYY",562,81,22,3,15,60,125,0.260053619,0.549597855,"DJ LeMahieu",9874,518934
"Harold Ramírez","TBR",434,92,19,2,12,22,79,0.287461773,0.547400611,"Harold Ramirez",14387,623912
"Jake Alu","WSN",175,31,2,1,2,10,42,0.239316239,0.547008547,"Jake Alu",25569,666906
"Masataka Yoshida","BOS",580,104,33,3,15,34,81,0.268558951,0.545851528,"Masataka Yoshida",31837,807799
"Gabriel Moreno","ARI",380,70,19,1,7,29,75,0.219780219,0.545787545,"Gabriel Moreno",22664,672515
"Joey Wendle","MIA",318,42,16,3,2,13,67,0.264069264,0.545454545,"Joey Wendle",13853,621563
"Jonathan Aranda","TBR",103,13,4,1,2,13,31,0.315789473,0.543859649,"Jonathan Aranda",21837,666018
"Jeremy Peña","HOU",634,107,32,3,10,43,129,0.265765765,0.542792792,"Jeremy Pena",21636,665161
"Elly De La Cruz","CIN",427,56,15,7,13,35,144,0.218106995,0.53909465,"Elly De La Cruz",26668,682829
"Jon Berti","MIA",424,88,16,3,7,29,77,0.261146496,0.53821656,"Jon Berti",12037,542932
"Orlando Arcia","ATL",533,87,25,0,17,39,102,0.29562982,0.537275064,"Orlando Arcia",13185,606115
"Avisaíl García","MIA",118,13,3,1,3,6,39,0.333333333,0.536231884,"Avisail Garcia",5760,541645
"Victor Caratini","MIL",226,41,4,0,7,19,45,0.283018867,0.534591194,"Victor Caratini",14968,605170
"Luis García Jr.","WSN",482,88,18,4,9,27,60,0.281725888,0.532994923,"Luis Garcia Jr.",20391,671277
"Brendan Rodgers","COL",192,32,9,1,4,11,41,0.299270072,0.532846715,"Brendan Rodgers",17907,663898
"Eloy Jiménez","CHW",489,83,23,0,18,30,93,0.309589041,0.531506849,"Eloy Jimenez",17484,650391
"Ramón Urías","BAL",396,66,22,3,4,27,101,0.284615384,0.53076923,"Ramon Urias",18795,602104
"Richie Palacios","STL",102,12,6,0,6,6,11,0.337349397,0.530120481,"Richie Palacios",24589,680700
"Jordan Diaz","OAK",293,41,9,0,10,17,69,0.299019607,0.529411764,"Jordan Diaz",22650,672478
"Victor Robles","WSN",126,26,5,1,0,11,18,0.287356321,0.528735632,"Victor Robles",18363,645302
"Noelvi Marte","CIN",123,26,7,0,3,8,25,0.247191011,0.528089887,"Noelvi Marte",26517,682622
"J.D. Davis","SFG",546,77,23,1,18,52,152,0.275449101,0.526946107,"J.D. Davis",16219,605204
"Nick Allen","OAK",329,57,4,2,4,17,52,0.334693877,0.526530612,"Nick Allen",22277,669397
"Sal Frelick","MIL",223,34,9,1,3,28,37,0.314102564,0.525641025,"Sal Frelick",29622,686217
"Starling Marte","NYM",341,65,7,1,5,16,69,0.296296296,0.522633744,"Starling Marte",9241,516782
"Gabriel Arias","CLE",345,41,15,0,10,28,113,0.296482412,0.522613065,"Gabriel Arias",22563,672356
"Yandy Díaz","TBR",600,116,35,0,22,65,94,0.286374133,0.519630484,"Yandy Diaz",16578,650490
"Mark Vientos","NYM",233,31,5,1,9,10,71,0.315436241,0.516778523,"Mark Vientos",22184,668901
"Zach Remillard","CHW",160,29,7,0,1,8,48,0.301075268,0.516129032,"Zach Remillard",19788,621545
"Liover Peguero","PIT",213,35,4,1,7,11,67,0.292307692,0.515384615,"Liover Peguero",24273,678894
"Oscar Colás","CHW",263,39,9,0,5,12,71,0.323699421,0.514450867,"Oscar Colas",30162,693049
"Jackie Bradley Jr.","KCR",113,8,5,0,1,5,29,0.355263157,0.513157894,"Jackie Bradley Jr.",12984,598265
"Matt Duffy","KCR",209,38,8,0,2,12,39,0.272727272,0.512987012,"Matt Duffy",13836,622110
"Jose Trevino","NYY",168,25,4,0,4,8,22,0.303703703,0.511111111,"Jose Trevino",16725,624431
"Juan Soto","SDP",708,88,32,1,35,132,129,0.324263038,0.510204081,"Juan Soto",20123,665742
"Tommy Edman","STL",528,77,25,4,13,35,84,0.32160804,0.510050251,"Tommy Edman",19470,669242
"Jake McCarthy","ARI",312,53,7,5,2,26,62,0.274038461,0.509615384,"Jake McCarthy",21622,664983
"Jonathan Davis","MIA",104,15,4,1,2,7,29,0.301587301,0.507936507,"Jonathan Davis",15104,641505
"Dominic Fletcher","ARI",102,20,5,1,2,7,22,0.338028169,0.507042253,"Dominic Fletcher",26149,666150
"Travis Jankowski","TEX",287,51,12,1,1,35,42,0.289215686,0.50490196,"Travis Jankowski",13768,608671
"Xander Bogaerts","SDP",665,118,31,2,19,56,110,0.329268292,0.50406504,"Xander Bogaerts",12161,593428
"Austin Barnes","LAD",200,25,5,0,2,17,43,0.325925925,0.503703703,"Austin Barnes",12158,605131
"Edouard Julien","MIN",408,56,16,1,16,64,128,0.239436619,0.502347417,"Edouard Julien",27534,666397
"Brett Baty","NYM",389,54,12,0,9,29,109,0.273469387,0.502040816,"Brett Baty",26123,683146
"Miguel Cabrera","DET",370,62,20,0,4,31,74,0.285171102,0.50190114,"Miguel Cabrera",1744,408234
"Alejandro Kirk","TOR",422,69,16,0,8,42,45,0.300911854,0.501519756,"Alejandro Kirk",22581,672386
"Wil Myers","CIN",141,18,3,0,3,12,48,0.325,0.5,"Wil Myers",10047,571976
"Jonah Bride","OAK",106,12,3,0,0,11,22,0.264705882,0.5,"Jonah Bride",24703,681146
"Javier Báez","DET",547,82,18,4,9,24,125,0.320413436,0.49870801,"Javier Baez",12979,595879
"Lars Nootbaar","STL",503,73,23,1,14,72,99,0.31402439,0.496951219,"Lars Nootbaar",21454,663457
"Oswald Peraza","NYY",191,23,8,0,2,13,50,0.31707317,0.495934959,"Oswald Peraza",22823,672724
"Ronald Acuña Jr.","ATL",735,137,35,4,41,80,84,0.304270462,0.494661921,"Ronald Acuna Jr.",18401,660670
"Nolan Schanuel","LAA",132,26,3,0,1,20,19,0.224719101,0.494382022,"Nolan Schanuel",33189,694384
"Josh Harrison","PHI",114,16,3,0,2,3,20,0.305882352,0.494117647,"Josh Harrison",8202,543281
"Isiah Kiner-Falefa","NYY",361,60,12,1,6,28,70,0.258823529,0.494117647,"Isiah Kiner-Falefa",16512,643396
"Dairon Blanco","KCR",138,18,7,4,3,10,33,0.317647058,0.494117647,"Dairon Blanco",19779,680118
"Jesús Sánchez","MIA",402,51,23,3,14,38,107,0.264822134,0.494071146,"Jesus Sanchez",19913,660821
"Oscar Gonzalez","CLE",180,26,7,2,2,5,46,0.296875,0.4921875,"Oscar Gonzalez",20970,660757
"Austin Slater","SFG",207,36,9,0,5,20,58,0.293650793,0.492063492,"Austin Slater",16153,596103
