Name,Level,Age,PA,GB/FB,LD%,HR/FB,SwStr%,BB%,K%,PlayerId
"Dustin Peterson","AA",29,180,1.297297297,0.227272727,0.135135135,0.13055954,0.094444444,0.283333333,"15189"
"Matt Beaty","AA",31,179,1.326086956,0.230215827,0.108695652,0.04538578,0.07821229,0.100558659,"17710"
"Josh Lester","AA",29,454,0.69503546,0.241269841,0.127659574,0.12645688,0.088105726,0.198237885,"17737"
"David Fletcher","AA",30,156,1.19047619,0.220338983,0,0.05477032,0.07051282,0.147435897,"17992"
"Brendon Davis","AA",26,468,0.758333333,0.235507246,0.075,0.10813648,0.132478632,0.232905982,"18587"
"Alex De Goti","AA",29,150,1.272727272,0.202127659,0,0.11092715,0.113333333,0.22,"19477"
"Zach Reks","AA",30,242,1.041666666,0.234375,0.0625,0.10249042,0.157024793,0.293388429,"19667"
"Caleb Hamilton","AA",29,134,0.857142857,0.212121212,0.142857142,0.14285714,0.126865671,0.350746268,"19842"
"Jared Oliva","AA",28,248,1.425925925,0.229411764,0.129629629,0.08858058,0.096774193,0.181451612,"19968"
"J.C. Escarra","AA",29,292,1.071428571,0.198156682,0.047619047,0.07509506,0.09589041,0.130136986,"20084"
"Seth Beer","AA",27,228,1.1,0.3,0.08,0.11797753,0.078947368,0.210526315,"20493"
"Dermis Garcia","AA",26,424,0.686956521,0.195020746,0.12173913,0.19080174,0.103773584,0.299528301,"20926"
"Tyler Payne","AA",31,290,2.211538461,0.223255813,0.076923076,0.14504597,0.048275862,0.18275862,"21139"
"Sebastian Rivero","AA",25,162,0.82,0.157407407,0.02,0.12195122,0.043209876,0.234567901,"21735"
"Jeremiah Jackson","AA",24,482,1.083333333,0.164133738,0.143939393,0.18100056,0.047717842,0.255186721,"22239"
"Joe Perez","AA",24,259,0.769230769,0.253246753,0.092307692,0.17707267,0.084942084,0.301158301,"22254"
"Bubba Thompson","AA",26,221,2.026315789,0.201388888,0.026315789,0.15374677,0.036199095,0.285067873,"22261"
"Gustavo Campero","AA",26,373,1.204545454,0.220883534,0.159090909,0.108555,0.10455764,0.160857908,"22707"
"Israel Pineda","AA",24,262,1.673076923,0.210227272,0.019230769,0.16020942,0.053435114,0.259541984,"22906"
"Eric Wagaman","AA",26,388,1.207920792,0.189090909,0.138613861,0.09363831,0.097938144,0.177835051,"23395"
"Jordan Groshans","AA",24,320,1.046511627,0.221238938,0.03488372,0.09493162,0.1,0.175,"23794"
"Anthony Seigler","AA",25,433,0.847457627,0.237762237,0.101694915,0.0780431,0.147806004,0.177829099,"23802"
"Jose Rodriguez","AA",23,164,1.022222222,0.241666666,0.088888888,0.10627178,0.079268292,0.12804878,"24388"
"Cody Wilson","AA",27,273,0.96,0.279411764,0.04,0.18685446,0.091575091,0.369963369,"24671"
"Mickey Gasper","AA",28,176,1.022222222,0.247933884,0.088888888,0.04373178,0.147727272,0.125,"24759"
"Heriberto Hernandez","AA",24,245,1.018181818,0.223776223,0.254545454,0.15805471,0.118367346,0.27755102,"24878"
"Justin Dean","AA",27,362,1.410958904,0.210762331,0.04109589,0.13764625,0.107734806,0.254143646,"25005"
"Will Wilson","AA",25,360,1.215189873,0.276859504,0.063291139,0.11335404,0.094444444,0.194444444,"25434"
"Cody Freeman","AA",23,518,1.229007633,0.22546419,0.106870229,0.07609756,0.071428571,0.181467181,"25629"
"Grant McCray","AA",23,208,0.8125,0.236842105,0.125,0.16324063,0.115384615,0.322115384,"25690"
"Tyler Tolbert","AA",26,462,1.604938271,0.259649122,0.049382716,0.12961803,0.082251082,0.222943722,"25779"
"C.J. Stubbs","AA",27,269,0.8,0.238461538,0.145454545,0.14811408,0.100371747,0.360594795,"25814"
