Name,Team,PA,1B,2B,3B,HR,BB,SO,FB%,GB%,NameASCII,PlayerId,MLBAMID
"J.D. Davis","- - -",157,22,5,0,4,12,39,0.242718446,0.640776699,"J.D. Davis",16219,605204
"Harold Ramírez","- - -",246,52,7,1,2,5,50,0.201058201,0.629629629,"Harold Ramirez",14387,623912
"Tim Anderson","MIA",241,47,3,0,0,7,68,0.151515151,0.624242424,"Tim Anderson",15172,641313
"Trey Lipscomb","WSN",211,34,3,0,1,16,40,0.225165562,0.622516556,"Trey Lipscomb",31567,702358
"Travis Jankowski","TEX",207,32,5,0,1,12,44,0.272727272,0.608391608,"Travis Jankowski",13768,608671
"Alek Thomas","ARI",103,9,5,1,3,7,17,0.236842105,0.605263157,"Alek Thomas",23792,677950
"Michael Stefanic","LAA",124,20,4,0,0,10,20,0.292134831,0.584269662,"Michael Stefanic",25353,683021
"Dylan Crews","WSN",132,17,5,1,3,11,26,0.319148936,0.574468085,"Dylan Crews",33541,686611
"Michael Siani","STL",334,57,7,2,2,21,92,0.25510204,0.571428571,"Michael Siani",22557,672279
"Johan Rojas","PHI",363,64,12,3,3,13,69,0.314176245,0.570881226,"Johan Rojas",24336,679032
"Brandon Drury","LAA",360,44,7,0,4,27,81,0.275303643,0.570850202,"Brandon Drury",11615,592273
"DJ LeMahieu","NYY",228,34,5,0,2,19,35,0.28488372,0.563953488,"DJ LeMahieu",9874,518934
"Nicky Lopez","CHW",445,80,12,3,1,37,67,0.262195121,0.560975609,"Nicky Lopez",19339,670032
"Eloy Jiménez","- - -",349,57,14,0,6,22,70,0.286274509,0.560784313,"Eloy Jimenez",17484,650391
"Brendan Rodgers","COL",539,91,29,1,13,31,132,0.25606469,0.5606469,"Brendan Rodgers",17907,663898
"Garrett Mitchell","MIL",224,27,12,3,8,25,71,0.225,0.558333333,"Garrett Mitchell",27555,669003
"Romy Gonzalez","BOS",216,36,10,1,6,12,58,0.267605633,0.556338028,"Romy Gonzalez",21562,663853
"James Wood","WSN",336,52,13,4,9,39,97,0.222222222,0.555555555,"James Wood",29518,695578
"Nick Allen","OAK",105,12,4,0,1,5,20,0.283783783,0.554054054,"Nick Allen",22277,669397
"Jackson Holliday","BAL",208,25,4,2,5,15,69,0.352459016,0.549180327,"Jackson Holliday",31781,702616
"Luis Rengifo","LAA",304,65,13,1,6,16,44,0.246861924,0.548117154,"Luis Rengifo",19858,650859
"Yandy Díaz","TBR",621,112,31,1,14,50,95,0.279661016,0.546610169,"Yandy Diaz",16578,650490
"Christian Yelich","MIL",315,59,12,3,11,40,58,0.265402843,0.545023696,"Christian Yelich",11477,592885
"William Contreras","MIL",679,105,37,2,23,78,139,0.289760348,0.544662309,"William Contreras",20503,661388
"Kevin Kiermaier","- - -",281,34,9,3,5,12,86,0.304093567,0.543859649,"Kevin Kiermaier",11038,595281
"Sean Murphy","ATL",264,29,5,1,10,27,67,0.335329341,0.538922155,"Sean Murphy",19352,669221
"Otto Lopez","MIA",434,79,23,1,6,25,75,0.254545454,0.536363636,"Otto Lopez",19608,672640
"Brett Baty","NYM",171,28,3,0,4,16,42,0.318181818,0.536363636,"Brett Baty",26123,683146
"José Abreu","HOU",120,10,2,0,2,4,28,0.325581395,0.53488372,"Jose Abreu",15676,547989
"Luis Guillorme","- - -",187,23,9,1,0,23,36,0.251968503,0.527559055,"Luis Guillorme",16451,641645
